Date,Hour,Open,Close,High,Low,Volume
2022/05/09,9:30:00,84.1,84.23,84.26,83.87,187200
2022/05/09,9:31:00,84.25,84.33,84.46,84.11,24000
2022/05/09,9:32:00,84.34,83.81,84.53,83.76,28200
2022/05/09,9:33:00,83.76,83.74,83.87,83.44,143800
2022/05/09,9:34:00,83.74,84.06,84.07,83.55,27000
2022/05/09,9:35:00,84.12,84.24,84.3,84.07,47400
2022/05/09,9:36:00,84.16,84.32,84.37,83.97,35000
2022/05/09,9:37:00,84.26,83.85,84.26,83.65,34400
2022/05/09,9:38:00,83.88,84.63,84.67,83.81,46500
2022/05/09,9:39:00,84.65,84.48,84.94,84.42,34900
2022/05/09,9:40:00,84.48,84.38,84.6,83.69,38500
2022/05/09,9:41:00,84.47,84.33,84.63,84.13,14400
2022/05/09,9:42:00,84.33,84.09,84.33,84.03,15400
2022/05/09,9:43:00,84.03,83.94,84.63,83.93,30600
2022/05/09,9:44:00,83.93,84.36,84.46,83.9,28000
2022/05/09,9:45:00,84.32,83.76,84.32,83.59,25600
2022/05/09,9:46:00,83.73,83.18,83.73,83.1,51900
2022/05/09,9:47:00,83.21,83.24,83.37,83.1,26300
2022/05/09,9:48:00,83.25,83.18,83.25,82.93,46400
2022/05/09,9:49:00,83.11,83.39,83.43,83.11,34400
2022/05/09,9:50:00,83.41,83.34,83.44,83.1,56200
2022/05/09,9:51:00,83.27,84.05,84.07,83.2,42400
2022/05/09,9:52:00,84.04,84.03,84.15,83.81,22100
2022/05/09,9:53:00,84.15,84.63,84.72,83.89,73800
2022/05/09,9:54:00,84.6,84.53,84.7,84.3,50500
2022/05/09,9:55:00,84.54,84.1,84.61,84.07,29400
2022/05/09,9:56:00,84.1,84.07,84.29,83.93,21800
2022/05/09,9:57:00,84.1,83.82,84.17,83.7,16500
2022/05/09,9:58:00,83.83,84.23,84.43,83.78,33100
2022/05/09,9:59:00,84.27,84.15,84.27,83.92,15500
2022/05/09,10:00:00,84.09,83.42,84.12,83.41,36600
2022/05/09,10:01:00,83.37,83.88,84.08,83.34,44000
2022/05/09,10:02:00,83.99,84.08,84.33,83.62,33400
2022/05/09,10:03:00,84.2,84.23,84.3,83.89,18700
2022/05/09,10:04:00,84.11,83.68,84.34,83.6,23800
2022/05/09,10:05:00,83.81,83.91,83.95,83.73,20700
2022/05/09,10:06:00,83.86,83.54,83.86,83.49,14000
2022/05/09,10:07:00,83.54,83.18,83.57,83.18,83800
2022/05/09,10:08:00,83.21,83.0,83.32,83.0,31000
2022/05/09,10:09:00,83.0,82.75,83.0,82.73,55700
2022/05/09,10:10:00,82.77,83.15,83.26,82.76,56100
2022/05/09,10:11:00,83.08,83.32,83.39,83.08,26800
2022/05/09,10:12:00,83.25,83.52,83.6,83.14,26500
2022/05/09,10:13:00,83.52,83.65,83.94,83.51,40200
2022/05/09,10:14:00,83.72,83.6,83.85,83.6,8400
2022/05/09,10:15:00,83.6,83.62,83.84,83.4,29000
2022/05/09,10:16:00,83.57,83.72,83.97,83.56,43000
