Date,Hour,Open,Close,High,Low,Volume
2022/04/22,9:30:00,14.64,14.66,14.7,14.64,5168871108824
2022/04/22,9:31:00,14.66,14.66,14.68,14.63,1516711110440
2022/04/22,9:32:00,14.65,14.68,14.68,14.63,1001431110668
2022/04/22,9:33:00,14.67,14.63,14.67,14.62,511262221996
2022/04/22,9:34:00,14.63,14.66,14.67,14.6,676995555256
2022/04/22,9:35:00,14.66,14.74,14.74,14.66,1339928888296
2022/04/22,9:36:00,14.74,14.69,14.75,14.67,1259573332776
2022/04/22,9:37:00,14.7,14.74,14.74,14.67,2222835554572
2022/04/22,9:38:00,14.73,14.73,14.76,14.71,1560906665976
2022/04/22,9:39:00,14.73,14.82,14.82,14.71,1186248888364
2022/04/22,9:40:00,14.81,14.84,14.84,14.79,2134444443500
2022/04/22,9:41:00,14.85,14.83,14.86,14.82,1463475554908
2022/04/22,9:42:00,14.83,14.85,14.86,14.81,1489591110452
2022/04/22,9:43:00,14.85,14.9,14.9,14.84,2148506665716
2022/04/22,9:44:00,14.9,14.91,14.94,14.89,2440799998920
2022/04/22,9:45:00,14.91,14.88,14.93,14.85,2047057776872
2022/04/22,9:46:00,14.89,14.83,14.93,14.82,2856639998736
2022/04/22,9:47:00,14.83,14.89,14.89,14.83,1275644443880
2022/04/22,9:48:00,14.89,14.88,14.9,14.84,1445395554916
2022/04/22,9:49:00,14.88,14.82,14.88,14.82,841724444072
2022/04/22,9:50:00,14.82,14.81,14.85,14.78,1422293332704
2022/04/22,9:51:00,14.81,14.79,14.85,14.78,1471511110460
2022/04/22,9:52:00,14.77,14.78,14.79,14.75,1355999999400
2022/04/22,9:53:00,14.78,14.81,14.83,14.77,1662355554820
2022/04/22,9:54:00,14.81,14.81,14.84,14.79,847751110736
2022/04/22,9:55:00,14.82,14.83,14.85,14.79,694071110804
2022/04/22,9:56:00,14.83,14.88,14.89,14.83,1419279999372
2022/04/22,9:57:00,14.88,14.86,14.89,14.86,1741706665896
2022/04/22,9:58:00,14.86,14.89,14.9,14.85,1910453332488
2022/04/22,9:59:00,14.89,14.9,14.93,14.89,1529768888212
2022/04/22,10:00:00,14.9,14.83,14.93,14.83,2835546665412
2022/04/22,10:01:00,14.83,14.82,14.83,14.78,1539813332652
2022/04/22,10:02:00,14.84,14.88,14.9,14.83,1785902221432
2022/04/22,10:03:00,14.88,14.86,14.89,14.86,366622222060
2022/04/22,10:04:00,14.87,14.9,14.91,14.86,731235555232
2022/04/22,10:05:00,14.89,14.81,14.9,14.81,1495617777116
2022/04/22,10:06:00,14.81,14.74,14.81,14.73,1666373332596
2022/04/22,10:07:00,14.73,14.76,14.78,14.73,726213333012
