Date,Hour,Open,Close,High,Low,Volume
2022/04/28,9:30:00,16.04,15.99,16.06,15.96,4587
2022/04/28,9:31:00,15.99,16.05,16.05,15.95,1453
2022/04/28,9:32:00,16.06,16.16,16.17,16.04,1279
2022/04/28,9:33:00,16.17,16.16,16.18,16.11,1400
2022/04/28,9:34:00,16.15,16.19,16.19,16.12,2252
2022/04/28,9:35:00,16.19,16.19,16.23,16.18,2932
2022/04/28,9:36:00,16.19,16.23,16.23,16.13,1242
2022/04/28,9:37:00,16.23,16.13,16.23,16.12,1188
2022/04/28,9:38:00,16.14,16.19,16.19,16.12,1698
2022/04/28,9:39:00,16.19,16.23,16.23,16.14,1862
2022/04/28,9:40:00,16.23,16.22,16.27,16.14,3074
2022/04/28,9:41:00,16.21,16.2,16.22,16.18,1135
2022/04/28,9:42:00,16.2,16.23,16.23,16.16,2446
2022/04/28,9:43:00,16.23,16.3,16.3,16.22,893
2022/04/28,9:44:00,16.3,16.35,16.37,16.29,1926
2022/04/28,9:45:00,16.35,16.29,16.36,16.25,2472
2022/04/28,9:46:00,16.28,16.26,16.28,16.22,1354
2022/04/28,9:47:00,16.26,16.28,16.29,16.23,1430
2022/04/28,9:48:00,16.28,16.31,16.31,16.25,724
2022/04/28,9:49:00,16.32,16.32,16.33,16.27,1330
2022/04/28,9:50:00,16.32,16.34,16.34,16.28,2804
2022/04/28,9:51:00,16.34,16.36,16.38,16.33,560
2022/04/28,9:52:00,16.37,16.27,16.38,16.27,1496
2022/04/28,9:53:00,16.28,16.27,16.3,16.25,795
2022/04/28,9:54:00,16.27,16.24,16.3,16.22,347
2022/04/28,9:55:00,16.24,16.29,16.31,16.24,894
2022/04/28,9:56:00,16.3,16.24,16.31,16.24,654
2022/04/28,9:57:00,16.24,16.27,16.29,16.22,517
2022/04/28,9:58:00,16.28,16.28,16.3,16.26,600
2022/04/28,9:59:00,16.28,16.27,16.31,16.26,508
2022/04/28,10:00:00,16.27,16.39,16.4,16.25,1767
2022/04/28,10:01:00,16.39,16.45,16.46,16.38,2207
2022/04/28,10:02:00,16.45,16.44,16.46,16.42,1300
2022/04/28,10:03:00,16.45,16.45,16.47,16.42,795
2022/04/28,10:04:00,16.45,16.45,16.48,16.41,1127
2022/04/28,10:05:00,16.46,16.47,16.49,16.45,487
2022/04/28,10:06:00,16.46,16.4,16.47,16.38,1012
2022/04/28,10:07:00,16.4,16.36,16.42,16.35,1350
2022/04/28,10:08:00,16.36,16.34,16.37,16.33,757
2022/04/28,10:09:00,16.34,16.38,16.38,16.33,792
2022/04/28,10:10:00,16.38,16.35,16.4,16.34,1811
2022/04/28,10:11:00,16.35,16.39,16.39,16.34,1567
2022/04/28,10:12:00,16.39,16.44,16.46,16.38,1269
2022/04/28,10:13:00,16.43,16.39,16.46,16.38,886
2022/04/28,10:14:00,16.39,16.38,16.4,16.36,1260
2022/04/28,10:15:00,16.39,16.42,16.44,16.39,621
2022/04/28,10:16:00,16.41,16.32,16.46,16.31,1597
2022/04/28,10:17:00,16.32,16.33,16.36,16.29,1890
2022/04/28,10:18:00,16.33,16.3,16.35,16.29,1019
2022/04/28,10:19:00,16.29,16.25,16.31,16.24,688
2022/04/28,10:20:00,16.25,16.3,16.33,16.24,779
2022/04/28,10:21:00,16.29,16.3,16.32,16.28,430
2022/04/28,10:22:00,16.3,16.31,16.32,16.24,434
2022/04/28,10:23:00,16.32,16.31,16.35,16.3,671
2022/04/28,10:24:00,16.32,16.34,16.34,16.3,168
2022/04/28,10:25:00,16.34,16.39,16.42,16.34,1132
2022/04/28,10:26:00,16.39,16.43,16.43,16.39,988
2022/04/28,10:27:00,16.43,16.47,16.51,16.43,1559
2022/04/28,10:28:00,16.47,16.46,16.48,16.43,1367
2022/04/28,10:29:00,16.46,16.51,16.51,16.45,613
2022/04/28,10:30:00,16.52,16.52,16.54,16.48,1765
2022/04/28,10:31:00,16.52,16.52,16.55,16.51,942
2022/04/28,10:32:00,16.52,16.53,16.55,16.52,1047
2022/04/28,10:33:00,16.53,16.55,16.58,16.52,817
