Date;Hour;Open;Close;High;Low;Volume
2022/04/20;9:30:00;13.69;13.68;13.71;13.67;3400
2022/04/20;9:31:00;13.68;13.64;13.69;13.62;2180
2022/04/20;9:32:00;13.65;13.68;13.68;13.63;6037
2022/04/20;9:33:00;13.68;13.69;13.7;13.67;4495
2022/04/20;9:34:00;13.7;13.69;13.72;13.69;1409
2022/04/20;9:35:00;13.69;13.7;13.7;13.67;700
2022/04/20;9:36:00;13.7;13.71;13.73;13.7;505
2022/04/20;9:37:00;13.71;13.67;13.71;13.67;690
2022/04/20;9:38:00;13.68;13.68;13.7;13.67;799
2022/04/20;9:39:00;13.68;13.69;13.7;13.67;558
2022/04/20;9:40:00;13.69;13.73;13.74;13.69;914
2022/04/20;9:41:00;13.73;13.75;13.75;13.72;747
2022/04/20;9:42:00;13.75;13.75;13.76;13.73;1136
2022/04/20;9:43:00;13.76;13.78;13.78;13.75;374
2022/04/20;9:44:00;13.78;13.81;13.81;13.77;1205
2022/04/20;9:45:00;13.81;13.83;13.84;13.8;792
2022/04/20;9:46:00;13.83;13.83;13.86;13.82;644
2022/04/20;9:47:00;13.83;13.83;13.88;13.82;1851
2022/04/20;9:48:00;13.83;13.87;13.87;13.82;1496
2022/04/20;9:49:00;13.87;13.87;13.88;13.86;680
2022/04/20;9:50:00;13.87;13.84;13.88;13.83;670
2022/04/20;9:51:00;13.83;13.84;13.85;13.83;1554
2022/04/20;9:52:00;13.85;13.87;13.88;13.84;956
2022/04/20;9:53:00;13.86;13.88;13.88;13.86;332
2022/04/20;9:54:00;13.88;13.86;13.88;13.86;357
2022/04/20;9:55:00;13.86;13.87;13.87;13.85;181
2022/04/20;9:56:00;13.87;13.86;13.9;13.86;699
2022/04/20;9:57:00;13.86;13.92;13.93;13.86;1148
2022/04/20;9:58:00;13.91;13.9;13.92;13.88;561
2022/04/20;9:59:00;13.89;13.87;13.9;13.86;870
2022/04/20;10:00:00;13.87;13.86;13.9;13.83;1615
2022/04/20;10:01:00;13.86;13.9;13.91;13.85;739
2022/04/20;10:02:00;13.91;13.9;13.91;13.88;388
2022/04/20;10:03:00;13.9;13.9;13.92;13.9;248
2022/04/20;10:04:00;13.9;13.88;13.9;13.88;319
2022/04/20;10:05:00;13.88;13.89;13.91;13.88;377
2022/04/20;10:06:00;13.89;13.9;13.91;13.89;62
2022/04/20;10:07:00;13.9;13.91;13.91;13.88;352
2022/04/20;10:08:00;13.91;13.91;13.93;13.9;258
2022/04/20;10:09:00;13.91;13.89;13.91;13.89;174
2022/04/20;10:10:00;13.89;13.89;13.9;13.88;161
2022/04/20;10:11:00;13.88;13.89;13.89;13.87;1123
2022/04/20;10:12:00;13.89;13.88;13.9;13.86;1413
2022/04/20;10:13:00;13.87;13.84;13.87;13.84;538
2022/04/20;10:14:00;13.85;13.85;13.88;13.84;210
2022/04/20;10:15:00;13.85;13.84;13.85;13.83;782
2022/04/20;10:16:00;13.84;13.84;13.84;13.82;342
2022/04/20;10:17:00;13.82;13.82;13.83;13.81;418
2022/04/20;10:18:00;13.81;13.84;13.84;13.81;442
2022/04/20;10:19:00;13.85;13.83;13.85;13.82;363
2022/04/20;10:20:00;13.83;13.79;13.83;13.78;593
2022/04/20;10:21:00;13.78;13.78;13.79;13.77;623
2022/04/20;10:22:00;13.79;13.8;13.8;13.78;163
2022/04/20;10:23:00;13.79;13.8;13.8;13.79;63
2022/04/20;10:24:00;13.81;13.85;13.86;13.81;569
2022/04/20;10:25:00;13.84;13.85;13.86;13.84;186
2022/04/20;10:26:00;13.85;13.83;13.85;13.82;173
2022/04/20;10:27:00;13.82;13.8;13.82;13.78;630
2022/04/20;10:28:00;13.81;13.8;13.81;13.79;202
2022/04/20;10:29:00;13.8;13.79;13.81;13.78;437
2022/04/20;10:30:00;13.78;13.83;13.83;13.78;519
2022/04/20;10:31:00;13.83;13.81;13.83;13.81;200
2022/04/20;10:32:00;13.81;13.8;13.81;13.75;739
2022/04/20;10:33:00;13.79;13.75;13.79;13.75;181
2022/04/20;10:34:00;13.75;13.76;13.77;13.75;689
2022/04/20;10:35:00;13.76;13.76;13.76;13.74;189
2022/04/20;10:36:00;13.76;13.74;13.76;13.74;335
2022/04/20;10:37:00;13.74;13.73;13.75;13.72;147
2022/04/20;10:38:00;13.72;13.73;13.74;13.72;151
2022/04/20;10:39:00;13.72;13.74;13.75;13.71;384
2022/04/20;10:40:00;13.73;13.71;13.73;13.71;339
2022/04/20;10:41:00;13.71;13.69;13.71;13.69;734
2022/04/20;10:42:00;13.7;13.72;13.72;13.69;228
2022/04/20;10:43:00;13.72;13.72;13.73;13.71;150
2022/04/20;10:44:00;13.72;13.72;13.73;13.71;274
2022/04/20;10:45:00;13.72;13.71;13.72;13.7;430
2022/04/20;10:46:00;13.71;13.72;13.73;13.71;282
2022/04/20;10:47:00;13.72;13.73;13.74;13.71;402
2022/04/20;10:48:00;13.74;13.73;13.74;13.72;351
2022/04/20;10:49:00;13.73;13.72;13.73;13.71;243
2022/04/20;10:50:00;13.71;13.71;13.73;13.71;106
2022/04/20;10:51:00;13.71;13.7;13.71;13.69;130
2022/04/20;10:52:00;13.69;13.68;13.7;13.67;207
2022/04/20;10:53:00;13.68;13.69;13.7;13.67;1115
2022/04/20;10:54:00;13.7;13.67;13.71;13.67;1752
2022/04/20;10:55:00;13.68;13.67;13.68;13.66;693
2022/04/20;10:56:00;13.68;13.69;13.69;13.67;784
2022/04/20;10:57:00;13.69;13.71;13.71;13.68;285
2022/04/20;10:58:00;13.7;13.7;13.71;13.69;790
2022/04/20;10:59:00;13.7;13.69;13.7;13.68;481
2022/04/20;11:00:00;13.69;13.75;13.75;13.69;564
2022/04/20;11:01:00;13.74;13.75;13.77;13.73;2972
2022/04/20;11:02:00;13.75;13.76;13.77;13.73;1766
2022/04/20;11:03:00;13.76;13.76;13.77;13.75;364
2022/04/20;11:04:00;13.75;13.78;13.78;13.75;261
2022/04/20;11:05:00;13.78;13.75;13.78;13.74;2201
2022/04/20;11:06:00;13.76;13.77;13.78;13.75;396
2022/04/20;11:07:00;13.76;13.78;13.78;13.76;285
2022/04/20;11:08:00;13.79;13.78;13.79;13.76;629
2022/04/20;11:09:00;13.77;13.77;13.78;13.77;460
2022/04/20;11:10:00;13.78;13.8;13.8;13.78;682
2022/04/20;11:11:00;13.79;13.8;13.81;13.78;278
2022/04/20;11:12:00;13.8;13.82;13.82;13.8;135
2022/04/20;11:13:00;13.83;13.82;13.83;13.81;405
2022/04/20;11:14:00;13.82;13.8;13.83;13.8;235
2022/04/20;11:15:00;13.81;13.83;13.83;13.8;175
2022/04/20;11:16:00;13.83;13.85;13.85;13.82;175
2022/04/20;11:17:00;13.84;13.83;13.84;13.83;312
2022/04/20;11:18:00;13.84;13.85;13.86;13.83;647
2022/04/20;11:19:00;13.85;13.85;13.86;13.84;390
2022/04/20;11:20:00;13.86;13.85;13.86;13.84;407
2022/04/20;11:21:00;13.84;13.85;13.86;13.84;100
2022/04/20;11:22:00;13.85;13.85;13.85;13.85;825
2022/04/20;11:23:00;13.86;13.86;13.87;13.85;551
