Date;Hour;Open;Close;High;Low;Volume
20/4/2022;09:30:00;13.69;13.68;13.71;13.67;3400
20/4/2022;09:31:00;13.68;13.64;13.69;13.62;2180
20/4/2022;09:32:00;13.65;13.68;13.68;13.63;6037
20/4/2022;09:33:00;13.68;13.69;13.7;13.67;4495
20/4/2022;09:34:00;13.7;13.69;13.72;13.69;1409
20/4/2022;09:35:00;13.69;13.7;13.7;13.67;700
20/4/2022;09:36:00;13.7;13.71;13.73;13.7;505
20/4/2022;09:37:00;13.71;13.67;13.71;13.67;690
20/4/2022;09:38:00;13.68;13.68;13.7;13.67;799
20/4/2022;09:39:00;13.68;13.69;13.7;13.67;558
20/4/2022;09:40:00;13.69;13.73;13.74;13.69;914
20/4/2022;09:41:00;13.73;13.75;13.75;13.72;747
20/4/2022;09:42:00;13.75;13.75;13.76;13.73;1136
20/4/2022;09:43:00;13.76;13.78;13.78;13.75;374
20/4/2022;09:44:00;13.78;13.81;13.81;13.77;1205
20/4/2022;09:45:00;13.81;13.83;13.84;13.8;792
20/4/2022;09:46:00;13.83;13.83;13.86;13.82;644
20/4/2022;09:47:00;13.83;13.83;13.88;13.82;1851
20/4/2022;09:48:00;13.83;13.87;13.87;13.82;1496
20/4/2022;09:49:00;13.87;13.87;13.88;13.86;680
20/4/2022;09:50:00;13.87;13.84;13.88;13.83;670
20/4/2022;09:51:00;13.83;13.84;13.85;13.83;1554
20/4/2022;09:52:00;13.85;13.87;13.88;13.84;956
20/4/2022;09:53:00;13.86;13.88;13.88;13.86;332
20/4/2022;09:54:00;13.88;13.86;13.88;13.86;357
20/4/2022;09:55:00;13.86;13.87;13.87;13.85;181
20/4/2022;09:56:00;13.87;13.86;13.9;13.86;699
20/4/2022;09:57:00;13.86;13.92;13.93;13.86;1148
20/4/2022;09:58:00;13.91;13.9;13.92;13.88;561
20/4/2022;09:59:00;13.89;13.87;13.9;13.86;870
20/4/2022;10:00:00;13.87;13.86;13.9;13.83;1615
20/4/2022;10:01:00;13.86;13.9;13.91;13.85;739
20/4/2022;10:02:00;13.91;13.9;13.91;13.88;388
20/4/2022;10:03:00;13.9;13.9;13.92;13.9;248
20/4/2022;10:04:00;13.9;13.88;13.9;13.88;319
20/4/2022;10:05:00;13.88;13.89;13.91;13.88;377
20/4/2022;10:06:00;13.89;13.9;13.91;13.89;62
20/4/2022;10:07:00;13.9;13.91;13.91;13.88;352
20/4/2022;10:08:00;13.91;13.91;13.93;13.9;258
20/4/2022;10:09:00;13.91;13.89;13.91;13.89;174
20/4/2022;10:10:00;13.89;13.89;13.9;13.88;161
20/4/2022;10:11:00;13.88;13.89;13.89;13.87;1123
20/4/2022;10:12:00;13.89;13.88;13.9;13.86;1413
20/4/2022;10:13:00;13.87;13.84;13.87;13.84;538
20/4/2022;10:14:00;13.85;13.85;13.88;13.84;210
20/4/2022;10:15:00;13.85;13.84;13.85;13.83;782
20/4/2022;10:16:00;13.84;13.84;13.84;13.82;342
20/4/2022;10:17:00;13.82;13.82;13.83;13.81;418
20/4/2022;10:18:00;13.81;13.84;13.84;13.81;442
20/4/2022;10:19:00;13.85;13.83;13.85;13.82;363
20/4/2022;10:20:00;13.83;13.79;13.83;13.78;593
20/4/2022;10:21:00;13.78;13.78;13.79;13.77;623
20/4/2022;10:22:00;13.79;13.8;13.8;13.78;163
20/4/2022;10:23:00;13.79;13.8;13.8;13.79;63
20/4/2022;10:24:00;13.81;13.85;13.86;13.81;569
20/4/2022;10:25:00;13.84;13.85;13.86;13.84;186
20/4/2022;10:26:00;13.85;13.83;13.85;13.82;173
20/4/2022;10:27:00;13.82;13.8;13.82;13.78;630
20/4/2022;10:28:00;13.81;13.8;13.81;13.79;202
20/4/2022;10:29:00;13.8;13.79;13.81;13.78;437
20/4/2022;10:30:00;13.78;13.83;13.83;13.78;519
20/4/2022;10:31:00;13.83;13.81;13.83;13.81;200
20/4/2022;10:32:00;13.81;13.8;13.81;13.75;739
20/4/2022;10:33:00;13.79;13.75;13.79;13.75;181
20/4/2022;10:34:00;13.75;13.76;13.77;13.75;689
