Date,Hour,Open,Close,High,Low,Volume
4/21/2022,9:30:00,448.54,449.03,449.04,448.54,564600
4/21/2022,9:31:00,449.03,449.29,449.3,448.86,241000
4/21/2022,9:32:00,449.3,449.49,449.52,449.23,357300
4/21/2022,9:33:00,449.48,449.67,449.81,449.48,363900
4/21/2022,9:34:00,449.66,449.71,449.8,449.64,150700
4/21/2022,9:35:00,449.69,449.53,449.94,449.43,241400
4/21/2022,9:36:00,449.53,449.42,449.64,449.39,203400
4/21/2022,9:37:00,449.42,449.02,449.52,448.98,279800
4/21/2022,9:38:00,449.02,449.08,449.21,448.69,248300
4/21/2022,9:39:00,449.09,449.07,449.15,448.96,141600
4/21/2022,9:40:00,449.09,448.99,449.18,448.96,179700
4/21/2022,9:41:00,448.99,449.02,449.12,448.9,139000
4/21/2022,9:42:00,449.04,449.29,449.34,449.03,256000
4/21/2022,9:43:00,449.29,449.31,449.42,449.2,110400
4/21/2022,9:44:00,449.31,449.27,449.43,449.15,167000
4/21/2022,9:45:00,449.29,449.14,449.37,449.05,225300
4/21/2022,9:46:00,449.15,449.42,449.43,448.94,168500
4/21/2022,9:47:00,449.41,449.36,449.47,449.23,132500
4/21/2022,9:48:00,449.38,449.36,449.49,449.18,116700
4/21/2022,9:49:00,449.35,449.66,449.66,449.25,170900
4/21/2022,9:50:00,449.68,449.86,449.89,449.52,270700
4/21/2022,9:51:00,449.85,449.93,450.01,449.8,201000
4/21/2022,9:52:00,449.92,449.77,449.94,449.73,266000
4/21/2022,9:53:00,449.76,449.34,449.85,449.32,170400
4/21/2022,9:54:00,449.31,449.36,449.51,449.11,146500
4/21/2022,9:55:00,449.35,449.59,449.69,449.35,150900
4/21/2022,9:56:00,449.6,449.66,449.68,449.39,110800
4/21/2022,9:57:00,449.64,449.46,449.64,449.36,131900
4/21/2022,9:58:00,449.47,449.42,449.52,449.36,137100
4/21/2022,9:59:00,449.4,449.36,449.51,449.32,113600
4/21/2022,10:00:00,449.38,449.08,449.42,449.06,221600
4/21/2022,10:01:00,449.08,449.07,449.3,448.99,193500
4/21/2022,10:02:00,449.07,449.16,449.17,448.97,168400
4/21/2022,10:03:00,449.15,449.22,449.26,449.11,114700
4/21/2022,10:04:00,449.23,449.33,449.41,449.16,158100
4/21/2022,10:05:00,449.34,449.14,449.34,449.04,156300
4/21/2022,10:06:00,449.16,449.03,449.17,448.85,118000
4/21/2022,10:07:00,449.02,448.59,449.02,448.55,233100
4/21/2022,10:08:00,448.55,448.71,448.76,448.4,257800
4/21/2022,10:09:00,448.71,448.66,448.76,448.62,120500
4/21/2022,10:10:00,448.65,448.59,448.65,448.43,109600
4/21/2022,10:11:00,448.6,448.92,448.96,448.55,165000
4/21/2022,10:12:00,448.9,448.67,448.97,448.63,129400
4/21/2022,10:13:00,448.68,448.32,448.69,448.31,142600
