Date,Hour,Open,Close,High,Low,Volume
2022/05/11,9:30:00,398.05,398.06,398.39,397.64,10446
2022/05/11,9:31:00,398.07,399.31,399.68,397.9,9956
2022/05/11,9:32:00,399.32,399.38,399.69,395.22,6147
2022/05/11,9:33:00,399.4,397.89,399.46,397.8,5639
2022/05/11,9:34:00,397.89,397.13,398.0,396.81,4725
2022/05/11,9:35:00,397.12,397.45,397.62,396.66,4443
2022/05/11,9:36:00,397.41,396.53,397.43,396.21,5920
2022/05/11,9:37:00,396.54,396.62,396.96,396.36,3781
2022/05/11,9:38:00,396.62,397.59,397.79,396.59,5249
2022/05/11,9:39:00,397.58,397.25,397.82,396.94,3007
2022/05/11,9:40:00,397.19,396.95,397.29,396.57,2868
2022/05/11,9:41:00,396.9,398.99,399.2,396.82,7174
2022/05/11,9:42:00,398.96,398.47,399.32,398.24,4751
2022/05/11,9:43:00,398.44,399.39,399.43,398.44,3655
2022/05/11,9:44:00,399.34,400.47,400.59,399.21,4694
2022/05/11,9:45:00,400.44,400.17,400.61,400.01,3558
2022/05/11,9:46:00,400.17,400.54,400.58,399.82,3206
2022/05/11,9:47:00,400.53,400.97,401.07,400.04,4537
2022/05/11,9:48:00,400.98,402.26,402.37,400.9,4284
2022/05/11,9:49:00,402.27,402.31,402.83,402.14,4368
2022/05/11,9:50:00,402.33,402.27,402.41,401.69,4751
2022/05/11,9:51:00,402.31,402.91,403.17,402.28,5948
2022/05/11,9:52:00,402.92,402.35,403.0,401.95,3594
2022/05/11,9:53:00,402.36,402.74,402.81,401.95,2749
2022/05/11,9:54:00,402.76,402.4,402.84,402.04,2927
2022/05/11,9:55:00,402.4,401.87,402.4,401.73,3005
2022/05/11,9:56:00,401.9,400.9,402.01,400.65,4159
2022/05/11,9:57:00,400.9,401.64,401.66,400.61,2247
2022/05/11,9:58:00,401.63,401.86,402.13,401.43,2458
2022/05/11,9:59:00,401.87,402.26,402.32,401.75,2382
2022/05/11,10:00:00,402.25,401.94,402.25,401.1,2962
2022/05/11,10:01:00,401.98,401.8,402.27,401.74,3876
2022/05/11,10:02:00,401.83,401.01,401.94,400.8,3392
2022/05/11,10:03:00,401.09,401.83,401.94,400.87,3493
2022/05/11,10:04:00,401.77,402.15,402.46,401.55,3194
2022/05/11,10:05:00,402.17,401.27,402.25,400.85,2629
2022/05/11,10:06:00,401.27,401.23,401.68,400.91,2175
2022/05/11,10:07:00,401.22,401.68,401.79,401.19,2466
2022/05/11,10:08:00,401.73,401.73,401.83,401.12,2367
2022/05/11,10:09:00,401.74,400.03,401.74,399.86,3563
2022/05/11,10:10:00,400.08,400.44,400.73,399.6,3601
2022/05/11,10:11:00,400.44,400.21,400.84,400.08,3277
2022/05/11,10:12:00,400.19,400.36,400.71,399.95,3220
2022/05/11,10:13:00,400.34,400.19,400.45,399.72,4159
2022/05/11,10:14:00,400.19,401.02,401.77,400.17,4576
2022/05/11,10:15:00,401.04,400.75,401.1,400.32,3427
2022/05/11,10:16:00,400.75,400.39,401.15,400.38,2303
2022/05/11,10:17:00,400.39,401.05,401.56,400.29,2755
2022/05/11,10:18:00,401.03,401.53,401.74,400.96,2733
2022/05/11,10:19:00,401.55,401.65,401.88,401.3,2320
2022/05/11,10:20:00,401.65,401.24,401.97,401.1,3236
2022/05/11,10:21:00,401.24,402.53,402.57,401.16,3595
2022/05/11,10:22:00,402.5,403.31,403.32,402.42,4067
2022/05/11,10:23:00,403.29,403.23,403.42,402.88,4704
2022/05/11,10:24:00,403.24,402.98,403.38,402.75,4590
2022/05/11,10:25:00,403.0,402.49,403.13,402.35,2854
2022/05/11,10:26:00,402.36,402.89,403.3,402.15,2609
2022/05/11,10:27:00,402.86,402.64,402.86,402.51,1427
2022/05/11,10:28:00,402.65,402.76,402.92,401.94,2583
2022/05/11,10:29:00,402.75,402.68,403.13,402.63,1841
2022/05/11,10:30:00,402.64,402.51,403.08,402.34,1794
2022/05/11,10:31:00,402.54,401.93,402.54,401.37,2739
2022/05/11,10:32:00,401.93,401.93,402.27,401.53,1342
2022/05/11,10:33:00,401.92,401.98,402.12,401.68,1011
2022/05/11,10:34:00,401.9,401.93,402.18,401.69,1154
2022/05/11,10:35:00,401.98,401.4,402.25,401.2,1991
2022/05/11,10:36:00,401.42,401.5,401.73,401.28,1779
2022/05/11,10:37:00,401.48,402.5,402.55,401.34,3300
2022/05/11,10:38:00,402.42,402.95,403.54,402.42,3438
2022/05/11,10:39:00,402.9,403.14,403.23,402.83,1553
2022/05/11,10:40:00,403.13,403.31,403.56,402.9,1828
2022/05/11,10:41:00,403.29,403.25,403.45,403.1,1332
2022/05/11,10:42:00,403.24,403.11,403.41,402.88,1947
2022/05/11,10:43:00,403.07,403.5,403.66,402.81,2152
2022/05/11,10:44:00,403.5,403.77,403.91,403.48,2515
2022/05/11,10:45:00,403.76,403.9,403.94,403.67,1372
2022/05/11,10:46:00,403.93,403.27,404.04,403.07,2342
2022/05/11,10:47:00,403.26,402.73,403.27,402.61,2286
2022/05/11,10:48:00,402.69,402.77,402.94,402.64,1094
2022/05/11,10:49:00,402.82,402.76,402.94,402.51,1264
2022/05/11,10:50:00,402.71,402.17,402.75,402.08,1805
2022/05/11,10:51:00,402.16,401.83,402.43,401.64,3000
2022/05/11,10:52:00,401.78,401.19,401.78,400.79,3116
2022/05/11,10:53:00,401.19,401.26,401.5,401.1,1605
2022/05/11,10:54:00,401.26,401.46,401.57,401.12,1255
2022/05/11,10:55:00,401.48,401.62,401.88,401.15,1584
2022/05/11,10:56:00,401.69,401.33,401.84,401.32,1656
2022/05/11,10:57:00,401.32,401.05,401.42,400.93,2435
2022/05/11,10:58:00,401.02,401.19,401.4,400.82,1736
