Date,Hour,Open,Close,High,Low,Volume
2022/04/18,9:30:00,401.55,402.33,402.51,401.52,138300
2022/04/18,9:31:00,402.52,403.0,403.05,402.43,16300
2022/04/18,9:32:00,403.04,403.04,403.13,402.93,8500
2022/04/18,9:33:00,403.06,403.16,403.24,403.02,34500
2022/04/18,9:34:00,403.2,403.1,403.43,403.06,31400
2022/04/18,9:35:00,403.04,403.28,403.34,403.0,9800
2022/04/18,9:36:00,403.36,403.5,403.55,403.3,10200
2022/04/18,9:37:00,403.51,403.52,403.66,403.32,8400
2022/04/18,9:38:00,403.51,403.56,403.78,403.46,6300
2022/04/18,9:39:00,403.53,403.25,403.59,403.24,7100
2022/04/18,9:40:00,403.23,403.06,403.23,403.02,15700
2022/04/18,9:41:00,403.03,403.07,403.2,402.86,7200
2022/04/18,9:42:00,403.35,403.26,403.39,403.16,2700
2022/04/18,9:43:00,403.34,403.8,403.8,403.31,10400
2022/04/18,9:44:00,403.69,403.56,403.95,403.5,11500
2022/04/18,9:45:00,403.64,403.39,403.64,403.23,11200
2022/04/18,9:46:00,403.43,403.14,403.53,403.08,7500
2022/04/18,9:47:00,403.1,403.19,403.33,403.05,4400
2022/04/18,9:48:00,403.35,403.51,403.58,403.34,5300
2022/04/18,9:49:00,403.48,403.43,403.55,403.38,2800
2022/04/18,9:50:00,403.48,403.24,403.55,403.24,5400
2022/04/18,9:51:00,403.16,403.24,403.25,402.95,5700
2022/04/18,9:52:00,403.07,402.73,403.18,402.73,17100
2022/04/18,9:53:00,402.72,402.57,402.74,402.39,11500
2022/04/18,9:54:00,402.55,402.54,402.59,402.38,10300
2022/04/18,9:55:00,402.57,402.2,402.58,402.2,8300
2022/04/18,9:56:00,402.2,402.35,402.35,402.2,12700
2022/04/18,9:57:00,402.35,402.43,402.57,402.35,7300
2022/04/18,9:58:00,402.44,402.35,402.49,402.3,4600
2022/04/18,9:59:00,402.31,402.42,402.44,402.21,6400
2022/04/18,10:00:00,402.33,401.99,402.37,401.77,10700
2022/04/18,10:01:00,401.94,402.54,402.7,401.91,12500
2022/04/18,10:02:00,402.59,402.59,402.88,402.59,18200
2022/04/18,10:03:00,402.64,402.72,402.73,402.51,5400
2022/04/18,10:04:00,402.7,402.81,402.95,402.7,9800
2022/04/18,10:05:00,402.84,402.65,402.88,402.62,7300
2022/04/18,10:06:00,402.53,402.68,402.68,402.41,11900
2022/04/18,10:07:00,402.66,402.5,402.78,402.47,8700
2022/04/18,10:08:00,402.42,402.5,402.6,402.41,6500
2022/04/18,10:09:00,402.46,402.03,402.46,402.03,5000
2022/04/18,10:10:00,402.0,402.04,402.12,401.92,8700
2022/04/18,10:11:00,402.05,402.38,402.39,401.94,7600
2022/04/18,10:12:00,402.38,402.73,402.82,402.38,8400
2022/04/18,10:13:00,402.82,402.9,402.96,402.82,9300
2022/04/18,10:14:00,402.88,402.86,402.9,402.78,4900
2022/04/18,10:15:00,402.87,402.88,402.92,402.64,6800
2022/04/18,10:16:00,402.86,403.0,403.13,402.75,13300
2022/04/18,10:17:00,402.93,402.85,403.03,402.85,4600
2022/04/18,10:18:00,402.83,402.86,402.95,402.73,9300
2022/04/18,10:19:00,402.88,403.0,403.03,402.82,7800
2022/04/18,10:20:00,403.07,403.03,403.11,402.97,4600
2022/04/18,10:21:00,403.04,403.0,403.17,402.94,14200
2022/04/18,10:22:00,403.0,403.32,403.34,402.99,14900
2022/04/18,10:23:00,403.31,403.37,403.41,403.27,13800
2022/04/18,10:24:00,403.41,403.86,403.86,403.41,5100
2022/04/18,10:25:00,403.87,403.83,403.98,403.83,5600
2022/04/18,10:26:00,404.0,403.65,404.0,403.65,9900
2022/04/18,10:27:00,403.61,403.42,403.63,403.36,4900
2022/04/18,10:28:00,403.43,403.3,403.46,403.24,2800
2022/04/18,10:29:00,403.34,403.33,403.4,403.22,4200
2022/04/18,10:30:00,403.37,403.32,403.45,403.29,3100
2022/04/18,10:31:00,403.31,403.38,403.44,403.29,4500
2022/04/18,10:32:00,403.41,403.36,403.5,403.33,2600
2022/04/18,10:33:00,403.37,403.41,403.44,403.31,4700
2022/04/18,10:34:00,403.43,403.64,403.64,403.41,3800
2022/04/18,10:35:00,403.67,403.45,403.69,403.44,2700
2022/04/18,10:36:00,403.52,403.36,403.58,403.33,5100
2022/04/18,10:37:00,403.35,403.51,403.6,403.34,10100
2022/04/18,10:38:00,403.49,403.54,403.57,403.34,8000
