Date,Hour,Open,Close,High,Low,Volume
2022/05/09,9:30:00,82.98,82.88,83.07,82.84,807
2022/05/09,9:31:00,82.86,82.93,83.01,82.84,442
2022/05/09,9:32:00,82.94,83.15,83.15,82.92,653
2022/05/09,9:33:00,83.13,83.17,83.31,83.07,857
2022/05/09,9:34:00,83.19,83.4,83.4,83.1,334
2022/05/09,9:35:00,83.41,83.22,83.47,83.2,459
2022/05/09,9:36:00,83.21,83.35,83.35,83.13,389
2022/05/09,9:37:00,83.34,83.19,83.34,83.17,693
2022/05/09,9:38:00,83.18,83.48,83.48,83.16,368
2022/05/09,9:39:00,83.5,83.38,83.59,83.36,470
2022/05/09,9:40:00,83.38,83.43,83.49,83.17,840
2022/05/09,9:41:00,83.42,83.25,83.45,83.2,574
2022/05/09,9:42:00,83.24,83.11,83.26,83.11,297
2022/05/09,9:43:00,83.09,83.03,83.29,83.03,400
2022/05/09,9:44:00,83.02,83.15,83.21,83.02,341
2022/05/09,9:45:00,83.15,83.06,83.15,82.94,734
2022/05/09,9:46:00,83.05,82.84,83.05,82.81,278
2022/05/09,9:47:00,82.85,82.97,83.02,82.85,370
2022/05/09,9:48:00,82.97,82.95,83.03,82.92,158
2022/05/09,9:49:00,82.95,83.08,83.08,82.95,257
2022/05/09,9:50:00,83.08,83.05,83.14,83.01,386
2022/05/09,9:51:00,83.04,83.26,83.28,83.0,855
2022/05/09,9:52:00,83.28,83.33,83.33,83.15,679
2022/05/09,9:53:00,83.34,83.56,83.59,83.33,735
2022/05/09,9:54:00,83.55,83.56,83.59,83.43,581
2022/05/09,9:55:00,83.56,83.49,83.59,83.46,342
2022/05/09,9:56:00,83.53,83.54,83.66,83.51,451
2022/05/09,9:57:00,83.52,83.51,83.61,83.44,143
2022/05/09,9:58:00,83.52,83.64,83.72,83.5,342
2022/05/09,9:59:00,83.65,83.66,83.66,83.55,116
2022/05/09,10:00:00,83.65,83.41,83.65,83.4,289
2022/05/09,10:01:00,83.41,83.6,83.64,83.39,648
2022/05/09,10:02:00,83.62,83.67,83.74,83.49,607
2022/05/09,10:03:00,83.7,83.68,83.72,83.59,349
2022/05/09,10:04:00,83.68,83.49,83.71,83.45,495
2022/05/09,10:05:00,83.5,83.54,83.55,83.48,181
2022/05/09,10:06:00,83.51,83.44,83.51,83.41,82
2022/05/09,10:07:00,83.47,83.37,83.47,83.36,443
