Date,Hour,Open,Close,High,Low,Volume
2022/05/09,9:30:00,58.55,58.48,58.55,58.39,299
2022/05/09,9:31:00,58.51,58.61,58.64,58.5,259
2022/05/09,9:32:00,58.59,58.4,58.63,58.39,227
2022/05/09,9:33:00,58.39,58.56,58.57,58.36,227
2022/05/09,9:34:00,58.55,58.67,58.68,58.53,97
2022/05/09,9:35:00,58.7,58.8,58.86,58.69,298
2022/05/09,9:36:00,58.83,58.87,58.89,58.75,101
2022/05/09,9:37:00,58.86,58.74,58.86,58.64,384
2022/05/09,9:38:00,58.73,58.9,58.91,58.71,289
2022/05/09,9:39:00,58.89,58.87,59.0,58.84,316
2022/05/09,9:40:00,58.86,58.88,58.93,58.66,430
2022/05/09,9:41:00,58.87,58.94,58.96,58.84,379
2022/05/09,9:42:00,58.95,58.9,58.95,58.84,212
2022/05/09,9:43:00,58.88,58.93,59.07,58.88,290
2022/05/09,9:44:00,58.87,58.97,59.0,58.87,343
2022/05/09,9:45:00,58.96,58.85,58.96,58.78,801
2022/05/09,9:46:00,58.85,58.67,58.85,58.67,430
2022/05/09,9:47:00,58.68,58.61,58.68,58.58,394
2022/05/09,9:48:00,58.61,58.57,58.61,58.56,150
2022/05/09,9:49:00,58.57,58.64,58.64,58.54,164
2022/05/09,9:50:00,58.64,58.6,58.65,58.55,250
2022/05/09,9:51:00,58.58,58.77,58.77,58.56,538
2022/05/09,9:52:00,58.78,58.75,58.8,58.66,229
2022/05/09,9:53:00,58.77,58.87,58.88,58.69,246
2022/05/09,9:54:00,58.87,58.81,58.87,58.77,193
2022/05/09,9:55:00,58.81,58.71,58.82,58.7,196
2022/05/09,9:56:00,58.72,58.66,58.73,58.63,250
2022/05/09,9:57:00,58.67,58.59,58.67,58.57,109
2022/05/09,9:58:00,58.61,58.7,58.76,58.61,221
2022/05/09,9:59:00,58.69,58.63,58.69,58.59,208
2022/05/09,10:00:00,58.63,58.44,58.63,58.43,325
2022/05/09,10:01:00,58.44,58.53,58.57,58.42,859
2022/05/09,10:02:00,58.53,58.6,58.67,58.5,509
2022/05/09,10:03:00,58.61,58.6,58.63,58.54,261
2022/05/09,10:04:00,58.59,58.53,58.66,58.48,243
2022/05/09,10:05:00,58.54,58.6,58.61,58.54,196
2022/05/09,10:06:00,58.59,58.53,58.59,58.51,165
2022/05/09,10:07:00,58.52,58.46,58.53,58.46,113
2022/05/09,10:08:00,58.45,58.44,58.48,58.43,167
2022/05/09,10:09:00,58.42,58.36,58.43,58.36,102
2022/05/09,10:10:00,58.35,58.47,58.5,58.35,212
2022/05/09,10:11:00,58.46,58.45,58.51,58.44,112
2022/05/09,10:12:00,58.44,58.5,58.54,58.41,190
2022/05/09,10:13:00,58.49,58.53,58.58,58.48,493
2022/05/09,10:14:00,58.55,58.6,58.63,58.55,115
2022/05/09,10:15:00,58.59,58.56,58.62,58.5,364
2022/05/09,10:16:00,58.55,58.58,58.66,58.54,434
2022/05/09,10:17:00,58.6,58.59,58.64,58.59,160
2022/05/09,10:18:00,58.58,58.53,58.59,58.5,180
2022/05/09,10:19:00,58.53,58.53,58.55,58.48,170
2022/05/09,10:20:00,58.52,58.47,58.57,58.45,188
2022/05/09,10:21:00,58.47,58.57,58.58,58.47,214
2022/05/09,10:22:00,58.57,58.47,58.57,58.47,167
2022/05/09,10:23:00,58.47,58.44,58.49,58.43,180
2022/05/09,10:24:00,58.43,58.38,58.46,58.38,183
2022/05/09,10:25:00,58.37,58.4,58.41,58.35,372
2022/05/09,10:26:00,58.41,58.43,58.44,58.39,453
2022/05/09,10:27:00,58.43,58.4,58.44,58.38,233
2022/05/09,10:28:00,58.39,58.34,58.39,58.33,420
2022/05/09,10:29:00,58.34,58.32,58.36,58.28,381
2022/05/09,10:30:00,58.3,58.27,58.3,58.22,231
2022/05/09,10:31:00,58.27,58.24,58.27,58.23,114
2022/05/09,10:32:00,58.23,58.15,58.23,58.15,195
2022/05/09,10:33:00,58.15,58.17,58.18,58.13,205
2022/05/09,10:34:00,58.17,58.23,58.26,58.17,291
2022/05/09,10:35:00,58.23,58.21,58.26,58.21,317
2022/05/09,10:36:00,58.21,58.19,58.24,58.19,323
2022/05/09,10:37:00,58.18,58.15,58.18,58.14,152
2022/05/09,10:38:00,58.14,58.1,58.15,58.09,138
2022/05/09,10:39:00,58.11,58.01,58.11,58.01,280
2022/05/09,10:40:00,58.01,58.07,58.08,58.0,599
2022/05/09,10:41:00,58.08,58.09,58.16,58.07,503
2022/05/09,10:42:00,58.1,58.07,58.14,58.07,280
2022/05/09,10:43:00,58.07,58.08,58.11,58.05,250
2022/05/09,10:44:00,58.08,58.1,58.1,58.01,308
2022/05/09,10:45:00,58.11,58.17,58.17,58.08,248
2022/05/09,10:46:00,58.18,58.11,58.22,58.11,374
2022/05/09,10:47:00,58.11,58.21,58.21,58.08,209
2022/05/09,10:48:00,58.22,58.19,58.22,58.14,202
2022/05/09,10:49:00,58.19,58.14,58.24,58.13,166
2022/05/09,10:50:00,58.14,58.14,58.19,58.13,153
2022/05/09,10:51:00,58.14,58.01,58.14,58.01,186
2022/05/09,10:52:00,58.01,58.06,58.08,58.01,267
2022/05/09,10:53:00,58.06,58.04,58.09,58.03,208
2022/05/09,10:54:00,58.02,57.99,58.05,57.98,191
2022/05/09,10:55:00,57.98,57.99,58.03,57.97,207
2022/05/09,10:56:00,57.99,58.12,58.14,57.97,719
2022/05/09,10:57:00,58.12,58.07,58.17,58.06,358
2022/05/09,10:58:00,58.07,58.04,58.08,58.03,162
2022/05/09,10:59:00,58.04,57.99,58.07,57.99,516
2022/05/09,11:00:00,57.98,58.06,58.06,57.95,424
2022/05/09,11:01:00,58.05,58.07,58.1,58.01,416
2022/05/09,11:02:00,58.07,58.03,58.07,58.03,141
2022/05/09,11:03:00,58.04,58.08,58.15,58.03,344
2022/05/09,11:04:00,58.09,58.1,58.15,58.08,230
2022/05/09,11:05:00,58.07,57.97,58.07,57.97,171
2022/05/09,11:06:00,57.97,57.96,58.0,57.95,158
2022/05/09,11:07:00,57.95,57.99,58.01,57.94,391
2022/05/09,11:08:00,57.98,57.97,58.02,57.96,389
2022/05/09,11:09:00,57.98,58.01,58.02,57.96,337
2022/05/09,11:10:00,58.01,58.09,58.1,58.01,117
2022/05/09,11:11:00,58.08,58.08,58.11,58.06,125
2022/05/09,11:12:00,58.09,58.1,58.15,58.07,121
2022/05/09,11:13:00,58.1,58.01,58.11,58.01,83
2022/05/09,11:14:00,58.0,58.04,58.05,58.0,161
2022/05/09,11:15:00,58.04,58.1,58.12,58.03,264
2022/05/09,11:16:00,58.11,58.17,58.19,58.11,93
2022/05/09,11:17:00,58.17,58.2,58.21,58.16,138
2022/05/09,11:18:00,58.19,58.19,58.2,58.17,117
2022/05/09,11:19:00,58.18,58.18,58.21,58.16,183
2022/05/09,11:20:00,58.18,58.11,58.18,58.11,102
2022/05/09,11:21:00,58.11,58.08,58.13,58.08,86
2022/05/09,11:22:00,58.08,58.03,58.08,58.01,86
2022/05/09,11:23:00,58.02,58.02,58.04,57.99,146
2022/05/09,11:24:00,58.02,58.03,58.06,58.01,254
2022/05/09,11:25:00,58.02,58.02,58.04,58.0,208
2022/05/09,11:26:00,58.02,57.98,58.02,57.96,133
2022/05/09,11:27:00,57.98,57.98,58.01,57.97,229
2022/05/09,11:28:00,57.97,58.05,58.06,57.95,361
2022/05/09,11:29:00,58.05,57.97,58.06,57.97,178
2022/05/09,11:30:00,57.97,57.92,57.99,57.92,150
2022/05/09,11:31:00,57.92,57.88,57.92,57.88,95
2022/05/09,11:32:00,57.87,57.83,57.87,57.82,152
2022/05/09,11:33:00,57.83,57.92,57.92,57.81,185
2022/05/09,11:34:00,57.92,57.94,57.96,57.91,236
2022/05/09,11:35:00,57.94,57.98,58.01,57.94,269
2022/05/09,11:36:00,57.98,57.93,58.02,57.93,222
2022/05/09,11:37:00,57.93,57.94,57.97,57.93,294
2022/05/09,11:38:00,57.94,58.07,58.07,57.94,211
2022/05/09,11:39:00,58.07,58.15,58.17,58.06,217
2022/05/09,11:40:00,58.17,58.11,58.17,58.1,281
2022/05/09,11:41:00,58.12,58.18,58.19,58.1,227
2022/05/09,11:42:00,58.18,58.26,58.26,58.18,181
2022/05/09,11:43:00,58.26,58.21,58.3,58.21,261
2022/05/09,11:44:00,58.2,58.15,58.21,58.15,86
2022/05/09,11:45:00,58.15,58.22,58.22,58.13,133
2022/05/09,11:46:00,58.23,58.23,58.23,58.18,95
2022/05/09,11:47:00,58.24,58.21,58.25,58.2,118
2022/05/09,11:48:00,58.2,58.21,58.25,58.2,322
