Date,Hour,Open,Close,High,Low,Volume
2022/05/09,9:30:00,81.14,80.82,81.21,80.72,4145
2022/05/09,9:31:00,80.81,80.43,80.81,80.42,2271
2022/05/09,9:32:00,80.43,80.67,80.67,80.38,2043
2022/05/09,9:33:00,80.67,80.36,80.67,80.32,1619
2022/05/09,9:34:00,80.37,80.47,80.51,80.26,1538
2022/05/09,9:35:00,80.48,80.38,80.59,80.32,1969
2022/05/09,9:36:00,80.37,80.45,80.51,80.32,1556
2022/05/09,9:37:00,80.44,80.37,80.47,80.3,2315
2022/05/09,9:38:00,80.37,80.38,80.4,80.29,1424
2022/05/09,9:39:00,80.39,80.4,80.51,80.36,1281
2022/05/09,9:40:00,80.39,80.33,80.45,80.25,2182
2022/05/09,9:41:00,80.32,80.01,80.37,80.0,1697
2022/05/09,9:42:00,80.01,80.06,80.11,79.91,1563
2022/05/09,9:43:00,80.05,79.9,80.13,79.89,1228
2022/05/09,9:44:00,79.89,79.93,80.01,79.87,1463
2022/05/09,9:45:00,79.93,79.66,79.94,79.61,2821
2022/05/09,9:46:00,79.65,79.37,79.65,79.28,2044
2022/05/09,9:47:00,79.38,79.44,79.47,79.27,2184
2022/05/09,9:48:00,79.44,79.33,79.47,79.3,1225
2022/05/09,9:49:00,79.32,79.41,79.41,79.24,1378
2022/05/09,9:50:00,79.42,79.32,79.47,79.29,1015
2022/05/09,9:51:00,79.33,79.59,79.67,79.26,2963
2022/05/09,9:52:00,79.6,79.87,79.88,79.58,2242
2022/05/09,9:53:00,79.87,80.14,80.19,79.86,2094
2022/05/09,9:54:00,80.13,80.17,80.2,79.95,1558
2022/05/09,9:55:00,80.17,80.09,80.24,80.03,1744
2022/05/09,9:56:00,80.09,80.01,80.23,79.96,1637
2022/05/09,9:57:00,80.02,79.98,80.13,79.92,1085
2022/05/09,9:58:00,79.98,80.04,80.17,79.97,1344
2022/05/09,9:59:00,80.03,79.77,80.03,79.72,710
2022/05/09,10:00:00,79.77,79.61,79.77,79.48,1597
2022/05/09,10:01:00,79.61,80.01,80.01,79.59,1986
2022/05/09,10:02:00,80.02,80.08,80.12,79.85,2145
2022/05/09,10:03:00,80.09,80.14,80.19,79.95,1329
2022/05/09,10:04:00,80.14,79.89,80.21,79.85,1111
2022/05/09,10:05:00,79.89,79.86,80.0,79.85,1015
2022/05/09,10:06:00,79.86,79.67,79.87,79.63,1256
2022/05/09,10:07:00,79.66,79.54,79.67,79.52,652
2022/05/09,10:08:00,79.55,79.46,79.63,79.45,1424
2022/05/09,10:09:00,79.46,79.44,79.51,79.38,1547
2022/05/09,10:10:00,79.43,79.56,79.63,79.43,1232
2022/05/09,10:11:00,79.56,79.62,79.68,79.54,1122
2022/05/09,10:12:00,79.61,79.64,79.65,79.44,962
2022/05/09,10:13:00,79.64,79.83,79.91,79.63,1338
2022/05/09,10:14:00,79.84,79.73,79.84,79.7,637
2022/05/09,10:15:00,79.72,79.69,79.86,79.64,1021
2022/05/09,10:16:00,79.68,79.82,79.86,79.65,1687
2022/05/09,10:17:00,79.83,79.7,79.86,79.68,1175
2022/05/09,10:18:00,79.7,79.66,79.72,79.58,917
2022/05/09,10:19:00,79.66,79.48,79.67,79.44,3018
2022/05/09,10:20:00,79.47,79.21,79.48,79.19,3617
2022/05/09,10:21:00,79.21,79.27,79.39,79.2,2372
2022/05/09,10:22:00,79.27,79.07,79.27,79.05,2708
2022/05/09,10:23:00,79.06,79.14,79.14,79.02,1263
2022/05/09,10:24:00,79.13,79.03,79.15,79.02,1097
2022/05/09,10:25:00,79.03,79.12,79.13,79.0,1063
2022/05/09,10:26:00,79.12,79.15,79.16,79.01,1859
2022/05/09,10:27:00,79.16,79.14,79.17,79.05,1574
2022/05/09,10:28:00,79.13,79.03,79.18,79.02,2080
2022/05/09,10:29:00,79.04,78.94,79.04,78.85,1896
2022/05/09,10:30:00,78.94,78.89,78.96,78.84,1274
2022/05/09,10:31:00,78.89,78.81,78.94,78.8,1060
2022/05/09,10:32:00,78.81,78.89,78.93,78.78,1301
2022/05/09,10:33:00,78.89,78.82,78.93,78.8,1385
2022/05/09,10:34:00,78.81,78.89,79.0,78.73,2550
2022/05/09,10:35:00,78.9,78.85,78.97,78.84,1363
2022/05/09,10:36:00,78.84,78.77,78.91,78.77,1667
2022/05/09,10:37:00,78.76,78.63,78.78,78.6,1171
2022/05/09,10:38:00,78.62,78.55,78.65,78.54,1955
2022/05/09,10:39:00,78.55,78.39,78.61,78.36,1843
2022/05/09,10:40:00,78.38,78.59,78.63,78.37,1463
2022/05/09,10:41:00,78.59,78.63,78.74,78.55,2631
2022/05/09,10:42:00,78.61,78.72,78.9,78.59,1445
2022/05/09,10:43:00,78.7,78.61,78.78,78.56,988
2022/05/09,10:44:00,78.62,78.65,78.7,78.54,877
2022/05/09,10:45:00,78.65,78.8,78.8,78.64,957
2022/05/09,10:46:00,78.8,78.75,78.94,78.75,731
2022/05/09,10:47:00,78.74,78.82,78.82,78.6,964
2022/05/09,10:48:00,78.83,78.79,78.86,78.71,1033
2022/05/09,10:49:00,78.79,78.76,78.91,78.75,711
2022/05/09,10:50:00,78.76,78.69,78.83,78.66,910
2022/05/09,10:51:00,78.68,78.45,78.68,78.39,1482
2022/05/09,10:52:00,78.45,78.37,78.5,78.35,1095
2022/05/09,10:53:00,78.36,78.29,78.38,78.28,767
2022/05/09,10:54:00,78.3,78.21,78.34,78.2,822
2022/05/09,10:55:00,78.2,78.17,78.3,78.16,895
2022/05/09,10:56:00,78.16,78.29,78.32,78.07,1145
2022/05/09,10:57:00,78.28,78.16,78.34,78.09,1160
2022/05/09,10:58:00,78.15,78.08,78.21,78.06,973
2022/05/09,10:59:00,78.07,77.83,78.07,77.81,1994
2022/05/09,11:00:00,77.83,78.01,78.02,77.77,1518
2022/05/09,11:01:00,78.03,77.87,78.03,77.86,1115
2022/05/09,11:02:00,77.86,77.73,77.86,77.72,852
