Date,Hour,Open,Close,High,Low,Volume
2022/05/09,9:30:00,34.29,34.31,34.36,34.27,5368
2022/05/09,9:31:00,34.32,34.31,34.35,34.27,1924
2022/05/09,9:32:00,34.3,34.34,34.37,34.28,2584
2022/05/09,9:33:00,34.33,34.29,34.34,34.24,2544
2022/05/09,9:34:00,34.3,34.34,34.34,34.24,1714
2022/05/09,9:35:00,34.34,34.34,34.38,34.33,2229
2022/05/09,9:36:00,34.34,34.37,34.37,34.3,1818
2022/05/09,9:37:00,34.37,34.34,34.37,34.29,2422
2022/05/09,9:38:00,34.33,34.42,34.42,34.32,958
2022/05/09,9:39:00,34.42,34.42,34.48,34.42,5098
2022/05/09,9:40:00,34.42,34.39,34.43,34.32,2659
2022/05/09,9:41:00,34.39,34.38,34.41,34.34,1903
2022/05/09,9:42:00,34.38,34.3,34.39,34.3,5211
2022/05/09,9:43:00,34.3,34.31,34.38,34.29,1623
2022/05/09,9:44:00,34.3,34.34,34.37,34.28,1665
2022/05/09,9:45:00,34.34,34.28,34.35,34.25,3009
2022/05/09,9:46:00,34.27,34.18,34.28,34.16,2685
2022/05/09,9:47:00,34.17,34.17,34.2,34.15,2156
2022/05/09,9:48:00,34.16,34.17,34.18,34.14,2773
2022/05/09,9:49:00,34.17,34.19,34.21,34.16,2024
2022/05/09,9:50:00,34.19,34.15,34.2,34.14,2421
2022/05/09,9:51:00,34.15,34.28,34.29,34.15,3366
2022/05/09,9:52:00,34.29,34.3,34.31,34.26,3007
2022/05/09,9:53:00,34.3,34.39,34.4,34.28,2136
2022/05/09,9:54:00,34.39,34.4,34.41,34.36,2080
2022/05/09,9:55:00,34.4,34.38,34.42,34.37,1357
2022/05/09,9:56:00,34.39,34.39,34.43,34.38,1853
2022/05/09,9:57:00,34.4,34.38,34.42,34.37,1466
2022/05/09,9:58:00,34.37,34.4,34.43,34.37,2724
2022/05/09,9:59:00,34.41,34.42,34.42,34.37,922
2022/05/09,10:00:00,34.42,34.32,34.42,34.29,4968
2022/05/09,10:01:00,34.32,34.38,34.39,34.3,1549
2022/05/09,10:02:00,34.39,34.41,34.43,34.35,2461
2022/05/09,10:03:00,34.42,34.46,34.46,34.39,1500
2022/05/09,10:04:00,34.45,34.38,34.46,34.37,2030
2022/05/09,10:05:00,34.39,34.4,34.41,34.37,1591
2022/05/09,10:06:00,34.39,34.34,34.39,34.34,862
2022/05/09,10:07:00,34.34,34.29,34.35,34.28,701
2022/05/09,10:08:00,34.29,34.26,34.3,34.25,1546
