Date,Hour,Open,Close,High,Low,Volume
2022/05/09,9:30:00,94.41,94.29,94.52,94.23,1026
2022/05/09,9:31:00,94.28,94.19,94.32,94.16,755
2022/05/09,9:32:00,94.18,94.21,94.33,94.14,761
2022/05/09,9:33:00,94.2,94.08,94.2,94.01,943
2022/05/09,9:34:00,94.09,94.33,94.33,94.04,810
2022/05/09,9:35:00,94.34,94.32,94.41,94.23,728
2022/05/09,9:36:00,94.31,94.39,94.43,94.25,990
2022/05/09,9:37:00,94.39,94.26,94.4,94.22,875
2022/05/09,9:38:00,94.25,94.42,94.44,94.22,1780
2022/05/09,9:39:00,94.43,94.4,94.57,94.38,895
2022/05/09,9:40:00,94.4,94.44,94.48,94.15,868
2022/05/09,9:41:00,94.43,94.31,94.45,94.25,1002
2022/05/09,9:42:00,94.31,94.15,94.31,94.15,1497
2022/05/09,9:43:00,94.14,94.16,94.36,94.13,706
2022/05/09,9:44:00,94.15,94.34,94.39,94.12,526
2022/05/09,9:45:00,94.33,94.21,94.34,94.09,803
2022/05/09,9:46:00,94.2,94.03,94.22,94.01,675
2022/05/09,9:47:00,94.03,94.03,94.11,94.01,689
2022/05/09,9:48:00,94.02,94.07,94.07,93.98,366
2022/05/09,9:49:00,94.04,94.16,94.17,94.03,753
2022/05/09,9:50:00,94.15,94.1,94.16,94.04,646
2022/05/09,9:51:00,94.09,94.44,94.45,94.05,1013
2022/05/09,9:52:00,94.45,94.46,94.47,94.33,659
2022/05/09,9:53:00,94.46,94.62,94.67,94.42,574
2022/05/09,9:54:00,94.62,94.62,94.66,94.52,752
2022/05/09,9:55:00,94.61,94.56,94.65,94.52,642
2022/05/09,9:56:00,94.56,94.62,94.72,94.54,668
2022/05/09,9:57:00,94.63,94.63,94.7,94.57,284
2022/05/09,9:58:00,94.63,94.72,94.78,94.62,650
2022/05/09,9:59:00,94.72,94.69,94.72,94.61,272
2022/05/09,10:00:00,94.7,94.42,94.7,94.41,524
2022/05/09,10:01:00,94.42,94.6,94.68,94.39,768
2022/05/09,10:02:00,94.62,94.66,94.75,94.54,593
2022/05/09,10:03:00,94.67,94.71,94.75,94.6,401
2022/05/09,10:04:00,94.7,94.48,94.74,94.45,351
2022/05/09,10:05:00,94.49,94.48,94.53,94.45,231
2022/05/09,10:06:00,94.47,94.33,94.47,94.32,323
2022/05/09,10:07:00,94.33,94.21,94.35,94.21,336
2022/05/09,10:08:00,94.21,94.09,94.21,94.08,238
2022/05/09,10:09:00,94.08,93.99,94.08,93.97,275
2022/05/09,10:10:00,93.99,94.15,94.17,93.98,425
2022/05/09,10:11:00,94.16,94.26,94.28,94.12,279
2022/05/09,10:12:00,94.25,94.32,94.33,94.2,445
2022/05/09,10:13:00,94.32,94.42,94.49,94.32,494
2022/05/09,10:14:00,94.43,94.4,94.48,94.4,141
2022/05/09,10:15:00,94.39,94.44,94.5,94.34,482
2022/05/09,10:16:00,94.43,94.45,94.54,94.41,524
2022/05/09,10:17:00,94.46,94.31,94.48,94.31,194
2022/05/09,10:18:00,94.28,94.24,94.32,94.21,210
2022/05/09,10:19:00,94.23,94.13,94.24,94.09,268
2022/05/09,10:20:00,94.11,94.06,94.15,94.01,281
2022/05/09,10:21:00,94.06,94.18,94.2,94.05,440
2022/05/09,10:22:00,94.18,94.02,94.18,94.02,271
2022/05/09,10:23:00,94.02,94.05,94.1,94.02,138
2022/05/09,10:24:00,94.05,93.93,94.05,93.93,352
2022/05/09,10:25:00,93.92,94.11,94.11,93.9,406
2022/05/09,10:26:00,94.1,94.08,94.13,94.02,626
2022/05/09,10:27:00,94.09,94.05,94.09,94.02,183
2022/05/09,10:28:00,94.04,93.95,94.04,93.93,443
2022/05/09,10:29:00,93.94,93.97,93.99,93.9,475
2022/05/09,10:30:00,93.96,93.94,93.96,93.88,153
2022/05/09,10:31:00,93.94,93.91,93.97,93.9,184
2022/05/09,10:32:00,93.91,93.91,93.92,93.88,300
2022/05/09,10:33:00,93.9,93.87,93.9,93.85,354
2022/05/09,10:34:00,93.88,94.0,94.05,93.87,687
2022/05/09,10:35:00,93.99,93.99,94.03,93.97,226
2022/05/09,10:36:00,93.98,93.99,94.04,93.95,372
2022/05/09,10:37:00,93.98,93.91,93.98,93.9,263
2022/05/09,10:38:00,93.91,93.84,93.91,93.83,341
2022/05/09,10:39:00,93.85,93.78,93.87,93.77,635
2022/05/09,10:40:00,93.77,93.87,93.93,93.77,490
2022/05/09,10:41:00,93.87,93.91,94.0,93.86,709
2022/05/09,10:42:00,93.91,93.95,94.0,93.89,356
2022/05/09,10:43:00,93.93,93.88,93.99,93.87,362
2022/05/09,10:44:00,93.87,93.87,93.88,93.76,561
2022/05/09,10:45:00,93.88,93.89,93.93,93.82,380
2022/05/09,10:46:00,93.89,93.84,93.93,93.84,243
2022/05/09,10:47:00,93.84,93.94,93.94,93.81,526
2022/05/09,10:48:00,93.94,93.89,93.95,93.83,254
2022/05/09,10:49:00,93.89,93.92,93.99,93.89,564
2022/05/09,10:50:00,93.92,93.94,94.03,93.9,364
2022/05/09,10:51:00,93.93,93.73,93.93,93.73,242
2022/05/09,10:52:00,93.74,93.79,93.82,93.73,407
2022/05/09,10:53:00,93.79,93.74,93.81,93.74,317
2022/05/09,10:54:00,93.73,93.62,93.75,93.61,250
2022/05/09,10:55:00,93.61,93.56,93.66,93.55,472
2022/05/09,10:56:00,93.56,93.66,93.68,93.51,712
2022/05/09,10:57:00,93.65,93.64,93.71,93.56,482
2022/05/09,10:58:00,93.64,93.63,93.7,93.62,249
2022/05/09,10:59:00,93.62,93.59,93.65,93.58,288
2022/05/09,11:00:00,93.58,93.71,93.72,93.54,624
2022/05/09,11:01:00,93.72,93.65,93.72,93.64,676
2022/05/09,11:02:00,93.65,93.62,93.66,93.62,191
2022/05/09,11:03:00,93.62,93.72,93.8,93.62,482
2022/05/09,11:04:00,93.74,93.74,93.82,93.73,252
2022/05/09,11:05:00,93.72,93.61,93.72,93.59,296
2022/05/09,11:06:00,93.61,93.6,93.68,93.6,354
2022/05/09,11:07:00,93.6,93.65,93.67,93.58,423
2022/05/09,11:08:00,93.65,93.65,93.68,93.59,475
2022/05/09,11:09:00,93.65,93.7,93.72,93.62,380
2022/05/09,11:10:00,93.7,93.77,93.79,93.68,357
2022/05/09,11:11:00,93.77,93.72,93.78,93.69,177
2022/05/09,11:12:00,93.7,93.7,93.76,93.66,219
2022/05/09,11:13:00,93.69,93.54,93.71,93.54,175
2022/05/09,11:14:00,93.53,93.63,93.64,93.53,928
2022/05/09,11:15:00,93.62,93.75,93.77,93.61,382
2022/05/09,11:16:00,93.75,93.74,93.8,93.74,290
2022/05/09,11:17:00,93.73,93.72,93.75,93.69,372
2022/05/09,11:18:00,93.72,93.72,93.73,93.68,162
2022/05/09,11:19:00,93.71,93.69,93.73,93.66,120
2022/05/09,11:20:00,93.69,93.66,93.69,93.62,108
2022/05/09,11:21:00,93.65,93.63,93.69,93.63,155
2022/05/09,11:22:00,93.63,93.65,93.65,93.61,142
2022/05/09,11:23:00,93.62,93.6,93.68,93.59,343
2022/05/09,11:24:00,93.6,93.61,93.64,93.58,331
2022/05/09,11:25:00,93.6,93.54,93.6,93.52,278
2022/05/09,11:26:00,93.54,93.54,93.55,93.48,237
2022/05/09,11:27:00,93.54,93.46,93.55,93.46,188
2022/05/09,11:28:00,93.45,93.56,93.56,93.38,397
2022/05/09,11:29:00,93.56,93.49,93.57,93.47,334
2022/05/09,11:30:00,93.48,93.41,93.51,93.41,239
2022/05/09,11:31:00,93.42,93.41,93.45,93.4,128
2022/05/09,11:32:00,93.4,93.44,93.47,93.39,763
2022/05/09,11:33:00,93.43,93.5,93.51,93.37,662
2022/05/09,11:34:00,93.5,93.54,93.56,93.48,467
2022/05/09,11:35:00,93.54,93.52,93.62,93.51,437
2022/05/09,11:36:00,93.52,93.49,93.55,93.49,364
2022/05/09,11:37:00,93.48,93.52,93.53,93.47,278
2022/05/09,11:38:00,93.52,93.7,93.7,93.51,626
2022/05/09,11:39:00,93.7,93.82,93.83,93.66,529
2022/05/09,11:40:00,93.82,93.7,93.82,93.67,358
2022/05/09,11:41:00,93.7,93.84,93.86,93.68,500
