Date,Hour,Open,Close,High,Low,Volume
2022/05/09,9:30:00,138.09,138.52,138.57,137.97,1818
2022/05/09,9:31:00,138.55,138.59,138.79,138.2,1129
2022/05/09,9:32:00,138.59,138.03,138.77,138.03,293
2022/05/09,9:33:00,138.05,138.13,138.13,137.83,516
2022/05/09,9:34:00,138.06,138.2,138.2,137.91,185
2022/05/09,9:35:00,138.21,138.43,138.56,138.2,428
2022/05/09,9:36:00,138.42,138.66,138.75,138.36,398
2022/05/09,9:37:00,138.64,138.36,138.64,138.12,611
2022/05/09,9:38:00,138.28,138.76,138.77,138.23,296
2022/05/09,9:39:00,138.72,138.43,138.92,138.33,711
2022/05/09,9:40:00,138.41,138.42,138.54,137.86,804
2022/05/09,9:41:00,138.41,138.63,138.73,138.4,590
2022/05/09,9:42:00,138.68,138.51,138.72,138.49,377
2022/05/09,9:43:00,138.5,138.35,138.9,138.35,394
2022/05/09,9:44:00,138.34,138.58,138.62,138.25,486
2022/05/09,9:45:00,138.55,138.06,138.55,137.96,533
2022/05/09,9:46:00,138.04,137.76,138.04,137.68,480
2022/05/09,9:47:00,137.73,137.73,137.81,137.63,416
2022/05/09,9:48:00,137.72,137.6,137.72,137.48,340
2022/05/09,9:49:00,137.6,137.74,137.76,137.53,523
2022/05/09,9:50:00,137.76,137.74,137.8,137.52,523
2022/05/09,9:51:00,137.74,138.02,138.14,137.55,851
2022/05/09,9:52:00,138.06,137.86,138.11,137.73,345
2022/05/09,9:53:00,137.87,138.24,138.3,137.74,358
2022/05/09,9:54:00,138.21,138.13,138.3,138.0,367
2022/05/09,9:55:00,138.13,137.77,138.2,137.75,405
2022/05/09,9:56:00,137.79,137.71,137.82,137.61,457
2022/05/09,9:57:00,137.71,137.55,137.74,137.5,151
2022/05/09,9:58:00,137.51,137.83,138.01,137.5,633
2022/05/09,9:59:00,137.86,137.72,137.86,137.58,230
2022/05/09,10:00:00,137.73,137.27,137.74,137.27,391
2022/05/09,10:01:00,137.25,137.48,137.7,137.24,623
2022/05/09,10:02:00,137.5,137.61,137.85,137.34,527
2022/05/09,10:03:00,137.64,137.67,137.73,137.46,296
2022/05/09,10:04:00,137.6,137.51,137.82,137.38,347
2022/05/09,10:05:00,137.53,137.59,137.63,137.49,131
2022/05/09,10:06:00,137.61,137.41,137.61,137.37,94
2022/05/09,10:07:00,137.37,137.12,137.43,137.12,306
2022/05/09,10:08:00,137.13,137.09,137.26,137.06,171
2022/05/09,10:09:00,137.04,136.89,137.05,136.89,603
2022/05/09,10:10:00,136.89,137.08,137.18,136.89,488
2022/05/09,10:11:00,137.04,137.1,137.2,137.0,543
2022/05/09,10:12:00,137.08,137.31,137.38,137.02,307
2022/05/09,10:13:00,137.29,137.3,137.53,137.26,680
2022/05/09,10:14:00,137.32,137.35,137.5,137.32,142
2022/05/09,10:15:00,137.34,137.33,137.45,137.15,313
2022/05/09,10:16:00,137.29,137.33,137.6,137.27,523
2022/05/09,10:17:00,137.39,137.15,137.42,137.14,189
2022/05/09,10:18:00,137.16,137.13,137.19,136.97,539
2022/05/09,10:19:00,137.12,137.11,137.2,137.01,250
2022/05/09,10:20:00,137.08,137.09,137.26,137.03,403
2022/05/09,10:21:00,137.09,137.32,137.34,137.05,927
2022/05/09,10:22:00,137.32,136.94,137.32,136.93,399
2022/05/09,10:23:00,136.95,136.94,137.1,136.9,216
2022/05/09,10:24:00,136.92,136.79,137.02,136.79,208
2022/05/09,10:25:00,136.79,136.94,136.96,136.78,713
2022/05/09,10:26:00,136.93,136.85,137.0,136.81,1014
2022/05/09,10:27:00,136.9,136.82,136.92,136.77,262
2022/05/09,10:28:00,136.78,136.65,136.79,136.57,1749
2022/05/09,10:29:00,136.65,136.59,136.69,136.57,926
2022/05/09,10:30:00,136.57,136.53,136.57,136.36,693
2022/05/09,10:31:00,136.52,136.43,136.52,136.39,289
2022/05/09,10:32:00,136.42,136.25,136.42,136.25,471
2022/05/09,10:33:00,136.26,136.29,136.35,136.21,434
2022/05/09,10:34:00,136.29,136.38,136.46,136.26,691
2022/05/09,10:35:00,136.37,136.39,136.51,136.3,286
2022/05/09,10:36:00,136.37,136.27,136.44,136.26,361
2022/05/09,10:37:00,136.26,136.22,136.26,136.16,263
2022/05/09,10:38:00,136.19,136.12,136.22,136.07,519
2022/05/09,10:39:00,136.12,135.96,136.14,135.91,539
2022/05/09,10:40:00,135.97,136.15,136.23,135.92,542
2022/05/09,10:41:00,136.21,136.38,136.51,136.11,865
2022/05/09,10:42:00,136.37,136.38,136.54,136.33,207
2022/05/09,10:43:00,136.33,136.35,136.45,136.28,249
2022/05/09,10:44:00,136.35,136.57,136.59,136.23,462
2022/05/09,10:45:00,136.63,136.73,136.79,136.54,260
2022/05/09,10:46:00,136.75,136.59,136.84,136.58,230
2022/05/09,10:47:00,136.57,136.8,136.8,136.46,223
2022/05/09,10:48:00,136.81,136.77,136.82,136.61,201
2022/05/09,10:49:00,136.79,136.68,136.9,136.65,276
2022/05/09,10:50:00,136.69,136.63,136.81,136.6,182
2022/05/09,10:51:00,136.61,136.28,136.62,136.27,285
2022/05/09,10:52:00,136.29,136.34,136.45,136.27,332
2022/05/09,10:53:00,136.34,136.28,136.36,136.23,249
2022/05/09,10:54:00,136.28,136.18,136.32,136.18,146
2022/05/09,10:55:00,136.16,136.06,136.25,136.04,687
2022/05/09,10:56:00,136.08,136.37,136.46,135.94,724
2022/05/09,10:57:00,136.35,136.23,136.48,136.17,318
2022/05/09,10:58:00,136.21,136.2,136.29,136.17,199
2022/05/09,10:59:00,136.2,136.04,136.26,136.03,406
2022/05/09,11:00:00,136.02,136.18,136.18,135.91,697
2022/05/09,11:01:00,136.14,136.05,136.18,136.02,359
2022/05/09,11:02:00,136.03,135.92,136.06,135.92,123
2022/05/09,11:03:00,135.98,136.11,136.29,135.94,512
2022/05/09,11:04:00,136.14,136.09,136.28,136.09,357
2022/05/09,11:05:00,136.08,135.87,136.08,135.82,186
2022/05/09,11:06:00,135.85,135.8,135.93,135.79,411
2022/05/09,11:07:00,135.77,135.85,135.88,135.73,345
2022/05/09,11:08:00,135.85,135.81,135.9,135.74,584
2022/05/09,11:09:00,135.79,135.98,135.99,135.74,418
2022/05/09,11:10:00,135.94,136.15,136.21,135.94,254
2022/05/09,11:11:00,136.14,136.16,136.23,136.12,199
2022/05/09,11:12:00,136.15,136.08,136.27,136.06,112
2022/05/09,11:13:00,136.07,135.87,136.1,135.87,115
2022/05/09,11:14:00,135.83,135.9,135.99,135.83,436
2022/05/09,11:15:00,135.9,136.01,136.12,135.87,563
2022/05/09,11:16:00,136.01,136.02,136.2,136.01,269
2022/05/09,11:17:00,136.01,136.01,136.07,135.94,306
2022/05/09,11:18:00,136.0,136.01,136.06,135.95,81
2022/05/09,11:19:00,135.97,135.97,136.04,135.88,169
2022/05/09,11:20:00,135.96,135.91,135.98,135.87,249
2022/05/09,11:21:00,135.91,135.9,135.96,135.87,211
2022/05/09,11:22:00,135.87,135.79,135.88,135.75,155
2022/05/09,11:23:00,135.76,135.67,135.78,135.61,544
2022/05/09,11:24:00,135.67,135.69,135.77,135.65,423
2022/05/09,11:25:00,135.68,135.68,135.72,135.63,191
2022/05/09,11:26:00,135.65,135.58,135.66,135.5,339
2022/05/09,11:27:00,135.55,135.57,135.65,135.53,481
2022/05/09,11:28:00,135.57,135.74,135.74,135.48,380
2022/05/09,11:29:00,135.74,135.6,135.77,135.58,160
2022/05/09,11:30:00,135.58,135.5,135.65,135.49,164
2022/05/09,11:31:00,135.51,135.48,135.53,135.47,175
2022/05/09,11:32:00,135.47,135.36,135.49,135.31,445
2022/05/09,11:33:00,135.35,135.56,135.56,135.28,496
2022/05/09,11:34:00,135.55,135.7,135.77,135.54,266
2022/05/09,11:35:00,135.68,135.66,135.82,135.62,484
2022/05/09,11:36:00,135.65,135.64,135.75,135.63,218
2022/05/09,11:37:00,135.63,135.68,135.77,135.63,252
2022/05/09,11:38:00,135.7,136.04,136.04,135.68,614
2022/05/09,11:39:00,136.03,136.26,136.26,135.99,772
2022/05/09,11:40:00,136.25,136.11,136.27,136.05,323
2022/05/09,11:41:00,136.13,136.22,136.27,136.04,1170
2022/05/09,11:42:00,136.23,136.34,136.37,136.2,447
2022/05/09,11:43:00,136.34,136.15,136.45,136.14,360
2022/05/09,11:44:00,136.15,136.12,136.2,136.1,265
2022/05/09,11:45:00,136.12,136.23,136.24,136.02,294
2022/05/09,11:46:00,136.23,136.17,136.26,136.05,198
2022/05/09,11:47:00,136.17,136.05,136.26,136.05,248
2022/05/09,11:48:00,136.06,136.07,136.18,136.03,258
2022/05/09,11:49:00,136.06,135.99,136.07,135.9,170
2022/05/09,11:50:00,135.99,136.31,136.31,135.96,323
2022/05/09,11:51:00,136.29,136.35,136.4,136.29,411
2022/05/09,11:52:00,136.33,136.43,136.49,136.25,744
2022/05/09,11:53:00,136.43,136.21,136.44,136.19,360
2022/05/09,11:54:00,136.22,136.35,136.39,136.18,509
2022/05/09,11:55:00,136.38,136.41,136.41,136.2,1283
2022/05/09,11:56:00,136.43,136.39,136.45,136.31,199
2022/05/09,11:57:00,136.38,136.36,136.39,136.22,448
2022/05/09,11:58:00,136.37,136.0,136.49,136.0,572
2022/05/09,11:59:00,136.01,136.11,136.18,135.99,138
2022/05/09,12:00:00,136.1,135.9,136.11,135.88,249
2022/05/09,12:01:00,135.89,135.76,135.9,135.73,198
2022/05/09,12:02:00,135.77,135.74,135.87,135.67,515
2022/05/09,12:03:00,135.78,135.59,135.78,135.58,308
2022/05/09,12:04:00,135.57,135.68,135.71,135.56,103
2022/05/09,12:05:00,135.67,135.78,136.0,135.64,609
2022/05/09,12:06:00,135.78,136.25,136.27,135.75,588
2022/05/09,12:07:00,136.3,136.61,136.63,136.22,500
2022/05/09,12:08:00,136.6,136.58,136.67,136.52,235
2022/05/09,12:09:00,136.57,136.42,136.7,136.41,136
2022/05/09,12:10:00,136.42,136.73,136.73,136.42,153
2022/05/09,12:11:00,136.71,136.63,136.75,136.61,116
2022/05/09,12:12:00,136.63,136.66,136.67,136.57,64
