Date,Hour,Open,Close,High,Low,Volume
2022/05/09,9:30:00,76.12,76.06,76.18,76.04,1703
2022/05/09,9:31:00,76.05,76.2,76.22,76.05,821
2022/05/09,9:32:00,76.21,76.22,76.3,76.2,630
2022/05/09,9:33:00,76.22,76.07,76.26,76.05,1693
2022/05/09,9:34:00,76.08,76.07,76.08,75.96,2425
2022/05/09,9:35:00,76.07,75.93,76.13,75.93,857
2022/05/09,9:36:00,75.92,75.94,75.96,75.88,949
2022/05/09,9:37:00,75.94,75.85,75.95,75.82,2274
2022/05/09,9:38:00,75.84,76.02,76.07,75.77,1378
2022/05/09,9:39:00,76.03,76.14,76.2,76.02,1169
2022/05/09,9:40:00,76.14,76.09,76.17,76.02,994
2022/05/09,9:41:00,76.08,76.03,76.09,75.93,854
2022/05/09,9:42:00,76.03,76.01,76.05,75.96,584
2022/05/09,9:43:00,76.0,76.05,76.09,75.98,1195
2022/05/09,9:44:00,76.06,76.14,76.18,76.06,894
2022/05/09,9:45:00,76.14,76.12,76.17,75.98,1081
2022/05/09,9:46:00,76.12,75.99,76.15,75.95,779
2022/05/09,9:47:00,76.0,76.04,76.08,76.0,968
2022/05/09,9:48:00,76.04,76.02,76.04,75.96,803
2022/05/09,9:49:00,76.03,75.98,76.06,75.97,489
2022/05/09,9:50:00,75.98,76.01,76.03,75.94,464
2022/05/09,9:51:00,76.01,76.15,76.19,76.0,1116
2022/05/09,9:52:00,76.15,76.22,76.25,76.15,858
2022/05/09,9:53:00,76.22,76.26,76.3,76.16,719
2022/05/09,9:54:00,76.26,76.31,76.35,76.21,823
2022/05/09,9:55:00,76.31,76.31,76.36,76.29,524
2022/05/09,9:56:00,76.31,76.3,76.37,76.28,557
2022/05/09,9:57:00,76.31,76.3,76.36,76.25,385
2022/05/09,9:58:00,76.29,76.34,76.41,76.29,641
2022/05/09,9:59:00,76.34,76.44,76.44,76.32,443
2022/05/09,10:00:00,76.44,76.35,76.44,76.33,548
2022/05/09,10:01:00,76.35,76.41,76.45,76.33,1483
2022/05/09,10:02:00,76.41,76.47,76.47,76.34,1432
2022/05/09,10:03:00,76.46,76.48,76.52,76.4,697
2022/05/09,10:04:00,76.48,76.38,76.52,76.35,705
2022/05/09,10:05:00,76.38,76.41,76.43,76.38,446
2022/05/09,10:06:00,76.4,76.39,76.42,76.36,2798
2022/05/09,10:07:00,76.39,76.34,76.4,76.34,988
2022/05/09,10:08:00,76.34,76.29,76.35,76.28,587
2022/05/09,10:09:00,76.29,76.3,76.3,76.23,450
2022/05/09,10:10:00,76.31,76.39,76.42,76.3,833
2022/05/09,10:11:00,76.38,76.45,76.47,76.37,347
2022/05/09,10:12:00,76.44,76.49,76.5,76.41,541
2022/05/09,10:13:00,76.48,76.56,76.61,76.48,1224
2022/05/09,10:14:00,76.55,76.49,76.57,76.48,331
2022/05/09,10:15:00,76.48,76.51,76.56,76.47,509
2022/05/09,10:16:00,76.51,76.6,76.61,76.51,672
2022/05/09,10:17:00,76.61,76.54,76.63,76.54,553
2022/05/09,10:18:00,76.53,76.45,76.54,76.45,1966
2022/05/09,10:19:00,76.45,76.44,76.49,76.4,388
2022/05/09,10:20:00,76.43,76.42,76.45,76.39,350
2022/05/09,10:21:00,76.41,76.49,76.49,76.4,418
2022/05/09,10:22:00,76.49,76.37,76.49,76.37,299
2022/05/09,10:23:00,76.37,76.4,76.41,76.35,489
2022/05/09,10:24:00,76.4,76.36,76.4,76.35,198
2022/05/09,10:25:00,76.36,76.52,76.52,76.35,476
2022/05/09,10:26:00,76.51,76.54,76.56,76.48,1248
2022/05/09,10:27:00,76.54,76.53,76.56,76.51,402
2022/05/09,10:28:00,76.53,76.46,76.56,76.44,1765
2022/05/09,10:29:00,76.46,76.54,76.54,76.44,665
2022/05/09,10:30:00,76.53,76.51,76.53,76.47,579
2022/05/09,10:31:00,76.51,76.63,76.64,76.51,304
2022/05/09,10:32:00,76.63,76.66,76.68,76.63,359
2022/05/09,10:33:00,76.66,76.77,76.77,76.64,407
2022/05/09,10:34:00,76.77,76.82,76.85,76.74,903
2022/05/09,10:35:00,76.81,76.77,76.81,76.74,554
2022/05/09,10:36:00,76.76,76.8,76.84,76.75,613
2022/05/09,10:37:00,76.8,76.71,76.82,76.7,1173
2022/05/09,10:38:00,76.71,76.71,76.73,76.66,2016
2022/05/09,10:39:00,76.71,76.64,76.71,76.61,4026
2022/05/09,10:40:00,76.64,76.63,76.67,76.62,2995
2022/05/09,10:41:00,76.62,76.67,76.71,76.61,2339
2022/05/09,10:42:00,76.66,76.75,76.76,76.65,1039
2022/05/09,10:43:00,76.74,76.71,76.78,76.7,825
2022/05/09,10:44:00,76.7,76.71,76.72,76.63,709
2022/05/09,10:45:00,76.72,76.71,76.73,76.68,373
2022/05/09,10:46:00,76.71,76.75,76.78,76.71,234
2022/05/09,10:47:00,76.75,76.83,76.83,76.74,1382
2022/05/09,10:48:00,76.84,76.82,76.84,76.77,572
2022/05/09,10:49:00,76.83,76.76,76.84,76.76,353
2022/05/09,10:50:00,76.76,76.82,76.87,76.76,305
2022/05/09,10:51:00,76.81,76.76,76.81,76.74,1115
2022/05/09,10:52:00,76.76,76.8,76.82,76.75,827
2022/05/09,10:53:00,76.79,76.77,76.8,76.74,584
2022/05/09,10:54:00,76.76,76.7,76.78,76.7,488
2022/05/09,10:55:00,76.7,76.65,76.72,76.64,1011
2022/05/09,10:56:00,76.65,76.7,76.71,76.63,1618
2022/05/09,10:57:00,76.7,76.63,76.73,76.6,1041
2022/05/09,10:58:00,76.63,76.62,76.63,76.59,375
2022/05/09,10:59:00,76.61,76.62,76.65,76.59,505
2022/05/09,11:00:00,76.61,76.7,76.7,76.58,876
2022/05/09,11:01:00,76.69,76.66,76.7,76.65,980
2022/05/09,11:02:00,76.66,76.65,76.67,76.63,274
2022/05/09,11:03:00,76.66,76.77,76.81,76.66,865
2022/05/09,11:04:00,76.77,76.73,76.77,76.7,290
2022/05/09,11:05:00,76.72,76.7,76.73,76.67,807
2022/05/09,11:06:00,76.69,76.7,76.74,76.69,870
2022/05/09,11:07:00,76.7,76.78,76.79,76.7,743
2022/05/09,11:08:00,76.79,76.82,76.82,76.76,1016
2022/05/09,11:09:00,76.81,76.84,76.88,76.8,878
2022/05/09,11:10:00,76.83,76.81,76.85,76.78,673
2022/05/09,11:11:00,76.8,76.81,76.82,76.79,587
2022/05/09,11:12:00,76.81,76.83,76.83,76.79,425
2022/05/09,11:13:00,76.82,76.76,76.82,76.75,1409
2022/05/09,11:14:00,76.75,76.81,76.84,76.75,1211
2022/05/09,11:15:00,76.81,76.87,76.89,76.79,1313
2022/05/09,11:16:00,76.88,76.88,76.93,76.86,434
2022/05/09,11:17:00,76.87,76.84,76.87,76.8,466
2022/05/09,11:18:00,76.84,76.8,76.84,76.78,5153
2022/05/09,11:19:00,76.79,76.82,76.84,76.78,575
2022/05/09,11:20:00,76.83,76.87,76.88,76.82,348
2022/05/09,11:21:00,76.87,76.86,76.91,76.85,276
2022/05/09,11:22:00,76.85,76.86,76.87,76.82,314
2022/05/09,11:23:00,76.87,76.82,76.88,76.82,831
2022/05/09,11:24:00,76.82,76.84,76.87,76.82,587
2022/05/09,11:25:00,76.83,76.82,76.84,76.8,281
2022/05/09,11:26:00,76.82,76.85,76.85,76.8,463
2022/05/09,11:27:00,76.85,76.8,76.85,76.8,463
2022/05/09,11:28:00,76.79,76.77,76.79,76.71,668
2022/05/09,11:29:00,76.77,76.7,76.77,76.68,261
2022/05/09,11:30:00,76.7,76.64,76.71,76.62,554
2022/05/09,11:31:00,76.64,76.68,76.69,76.63,349
2022/05/09,11:32:00,76.68,76.71,76.72,76.67,607
2022/05/09,11:33:00,76.7,76.66,76.7,76.63,1174
2022/05/09,11:34:00,76.66,76.69,76.7,76.66,472
2022/05/09,11:35:00,76.7,76.71,76.74,76.69,646
2022/05/09,11:36:00,76.71,76.78,76.78,76.7,338
2022/05/09,11:37:00,76.78,76.82,76.82,76.76,352
2022/05/09,11:38:00,76.82,76.9,76.9,76.82,440
2022/05/09,11:39:00,76.9,76.91,76.91,76.85,471
2022/05/09,11:40:00,76.91,76.86,76.91,76.82,402
2022/05/09,11:41:00,76.86,76.92,76.93,76.84,679
2022/05/09,11:42:00,76.92,76.91,76.93,76.88,442
2022/05/09,11:43:00,76.91,76.89,76.96,76.89,453
2022/05/09,11:44:00,76.88,76.89,76.91,76.86,214
2022/05/09,11:45:00,76.89,76.96,76.96,76.88,446
2022/05/09,11:46:00,76.95,76.92,76.95,76.89,230
2022/05/09,11:47:00,76.92,76.89,76.94,76.87,235
2022/05/09,11:48:00,76.89,76.89,76.95,76.88,448
2022/05/09,11:49:00,76.88,76.92,76.93,76.87,304
2022/05/09,11:50:00,76.92,76.98,76.99,76.92,436
2022/05/09,11:51:00,76.98,76.97,77.01,76.96,275
2022/05/09,11:52:00,76.96,76.94,76.96,76.92,236
2022/05/09,11:53:00,76.94,76.92,76.96,76.91,395
2022/05/09,11:54:00,76.92,76.91,76.95,76.9,606
2022/05/09,11:55:00,76.91,76.9,76.91,76.86,414
2022/05/09,11:56:00,76.9,76.92,76.95,76.9,342
2022/05/09,11:57:00,76.91,76.92,76.94,76.86,345
2022/05/09,11:58:00,76.93,76.84,76.95,76.84,645
2022/05/09,11:59:00,76.84,76.93,76.93,76.83,281
2022/05/09,12:00:00,76.93,76.84,76.93,76.84,372
2022/05/09,12:01:00,76.85,76.81,76.85,76.79,376
2022/05/09,12:02:00,76.81,76.74,76.82,76.73,671
2022/05/09,12:03:00,76.75,76.76,76.77,76.73,437
2022/05/09,12:04:00,76.75,76.72,76.75,76.7,206
2022/05/09,12:05:00,76.72,76.73,76.77,76.7,905
2022/05/09,12:06:00,76.73,76.88,76.88,76.72,833
2022/05/09,12:07:00,76.88,76.93,76.93,76.86,1063
2022/05/09,12:08:00,76.92,76.83,76.94,76.83,299
2022/05/09,12:09:00,76.83,76.85,76.9,76.82,387
2022/05/09,12:10:00,76.86,76.9,76.94,76.86,290
2022/05/09,12:11:00,76.89,76.87,76.9,76.86,246
2022/05/09,12:12:00,76.87,76.91,76.92,76.87,263
2022/05/09,12:13:00,76.92,76.95,76.95,76.89,937
2022/05/09,12:14:00,76.95,76.98,76.99,76.95,220
2022/05/09,12:15:00,76.98,77.04,77.04,76.98,695
2022/05/09,12:16:00,77.05,76.97,77.05,76.96,413
2022/05/09,12:17:00,76.97,77.0,77.0,76.97,213
2022/05/09,12:18:00,76.99,77.01,77.02,76.98,277
2022/05/09,12:19:00,77.0,76.96,77.02,76.95,193
2022/05/09,12:20:00,76.95,76.88,76.96,76.87,363
2022/05/09,12:21:00,76.88,76.9,76.94,76.86,452
2022/05/09,12:22:00,76.89,76.94,76.95,76.89,295
2022/05/09,12:23:00,76.93,76.94,76.96,76.92,328
2022/05/09,12:24:00,76.95,76.93,76.99,76.91,636
2022/05/09,12:25:00,76.93,76.84,76.96,76.83,517
2022/05/09,12:26:00,76.84,76.77,76.84,76.75,480
2022/05/09,12:27:00,76.77,76.83,76.84,76.77,412
2022/05/09,12:28:00,76.83,76.9,76.9,76.82,315
2022/05/09,12:29:00,76.9,76.92,76.95,76.87,353
2022/05/09,12:30:00,76.91,76.84,76.92,76.82,393
2022/05/09,12:31:00,76.84,76.91,76.96,76.84,662
2022/05/09,12:32:00,76.91,76.97,76.98,76.9,345
2022/05/09,12:33:00,76.97,76.97,76.98,76.91,436
2022/05/09,12:34:00,76.97,76.96,77.01,76.93,383
2022/05/09,12:35:00,76.96,76.92,76.97,76.88,358
2022/05/09,12:36:00,76.92,76.92,76.92,76.88,585
2022/05/09,12:37:00,76.91,76.87,76.92,76.85,412
2022/05/09,12:38:00,76.86,76.85,76.87,76.8,1201
2022/05/09,12:39:00,76.84,76.84,76.85,76.81,507
2022/05/09,12:40:00,76.83,76.84,76.87,76.83,344
2022/05/09,12:41:00,76.83,76.85,76.86,76.82,533
2022/05/09,12:42:00,76.85,76.87,76.88,76.83,496
2022/05/09,12:43:00,76.86,76.87,76.88,76.84,366
2022/05/09,12:44:00,76.87,76.86,76.87,76.84,221
2022/05/09,12:45:00,76.86,76.83,76.86,76.8,405
2022/05/09,12:46:00,76.82,76.84,76.85,76.81,501
2022/05/09,12:47:00,76.84,76.86,76.88,76.84,155
2022/05/09,12:48:00,76.85,76.87,76.87,76.84,285
2022/05/09,12:49:00,76.86,76.83,76.86,76.8,340
2022/05/09,12:50:00,76.83,76.8,76.84,76.79,371
2022/05/09,12:51:00,76.8,76.79,76.81,76.78,492
2022/05/09,12:52:00,76.79,76.82,76.85,76.79,258
2022/05/09,12:53:00,76.83,76.81,76.84,76.8,177
2022/05/09,12:54:00,76.8,76.83,76.83,76.78,390
2022/05/09,12:55:00,76.83,76.89,76.9,76.82,270
2022/05/09,12:56:00,76.88,76.89,76.9,76.86,288
2022/05/09,12:57:00,76.89,76.87,76.89,76.83,248
2022/05/09,12:58:00,76.86,76.84,76.89,76.82,401
2022/05/09,12:59:00,76.85,76.84,76.87,76.83,235
2022/05/09,13:00:00,76.84,76.8,76.85,76.79,462
2022/05/09,13:01:00,76.81,76.81,76.84,76.79,535
2022/05/09,13:02:00,76.81,76.85,76.87,76.8,491
2022/05/09,13:03:00,76.84,76.83,76.85,76.82,223
2022/05/09,13:04:00,76.84,76.82,76.86,76.82,323
2022/05/09,13:05:00,76.81,76.87,76.87,76.81,253
2022/05/09,13:06:00,76.86,76.86,76.87,76.83,492
2022/05/09,13:07:00,76.86,76.86,76.86,76.82,851
2022/05/09,13:08:00,76.86,76.85,76.86,76.83,164
2022/05/09,13:09:00,76.86,76.89,76.92,76.86,513
2022/05/09,13:10:00,76.89,76.84,76.9,76.84,573
2022/05/09,13:11:00,76.84,76.85,76.85,76.82,330
2022/05/09,13:12:00,76.85,76.85,76.87,76.83,725
2022/05/09,13:13:00,76.84,76.87,76.89,76.84,317
2022/05/09,13:14:00,76.88,76.88,76.89,76.85,179
2022/05/09,13:15:00,76.87,76.94,76.94,76.86,168
2022/05/09,13:16:00,76.94,76.93,76.94,76.9,278
2022/05/09,13:17:00,76.94,76.97,76.98,76.93,330
2022/05/09,13:18:00,76.98,77.0,77.0,76.96,371
2022/05/09,13:19:00,77.0,77.02,77.04,76.99,323
2022/05/09,13:20:00,77.01,77.0,77.01,76.96,466
2022/05/09,13:21:00,77.0,77.01,77.05,76.98,1296
2022/05/09,13:22:00,77.01,76.98,77.02,76.96,750
2022/05/09,13:23:00,76.98,76.99,77.0,76.96,430
2022/05/09,13:24:00,76.98,76.98,77.0,76.95,981
2022/05/09,13:25:00,76.99,77.07,77.07,76.99,497
2022/05/09,13:26:00,77.07,77.08,77.09,77.04,830
2022/05/09,13:27:00,77.08,77.1,77.13,77.08,432
2022/05/09,13:28:00,77.09,77.11,77.12,77.04,457
2022/05/09,13:29:00,77.11,77.17,77.19,77.11,634
2022/05/09,13:30:00,77.17,77.19,77.21,77.17,700
2022/05/09,13:31:00,77.19,77.17,77.19,77.13,408
2022/05/09,13:32:00,77.17,77.08,77.18,77.07,281
2022/05/09,13:33:00,77.07,77.07,77.08,77.01,639
2022/05/09,13:34:00,77.06,77.02,77.07,77.0,747
2022/05/09,13:35:00,77.01,77.01,77.02,76.98,267
2022/05/09,13:36:00,77.0,77.04,77.04,76.97,581
2022/05/09,13:37:00,77.04,77.02,77.06,76.99,604
2022/05/09,13:38:00,77.01,76.98,77.01,76.97,489
2022/05/09,13:39:00,76.98,77.05,77.05,76.98,1379
2022/05/09,13:40:00,77.03,77.11,77.11,77.03,379
2022/05/09,13:41:00,77.1,77.19,77.19,77.1,606
2022/05/09,13:42:00,77.17,77.19,77.21,77.16,515
2022/05/09,13:43:00,77.19,77.26,77.28,77.19,639
