Date,Hour,Open,Close,High,Low,Volume
2022/05/09,9:30:00,44.44,44.23,44.44,44.11,2340
2022/05/09,9:31:00,44.23,44.27,44.3,44.23,590
2022/05/09,9:32:00,44.27,44.17,44.33,44.16,1135
2022/05/09,9:33:00,44.18,44.1,44.18,44.1,388
2022/05/09,9:34:00,44.1,44.15,44.15,44.05,422
2022/05/09,9:35:00,44.16,44.04,44.19,44.03,602
2022/05/09,9:36:00,44.04,44.1,44.1,44.04,529
2022/05/09,9:37:00,44.1,44.07,44.1,43.98,715
2022/05/09,9:38:00,44.06,44.13,44.13,44.03,468
2022/05/09,9:39:00,44.13,44.14,44.2,44.12,616
2022/05/09,9:40:00,44.15,44.09,44.15,44.03,659
2022/05/09,9:41:00,44.07,43.95,44.07,43.93,516
2022/05/09,9:42:00,43.95,43.95,43.97,43.89,432
2022/05/09,9:43:00,43.94,43.92,43.98,43.92,334
2022/05/09,9:44:00,43.92,43.94,43.96,43.91,523
2022/05/09,9:45:00,43.94,43.95,43.97,43.88,654
2022/05/09,9:46:00,43.96,43.86,43.96,43.85,356
2022/05/09,9:47:00,43.86,43.87,43.9,43.86,452
2022/05/09,9:48:00,43.87,43.88,43.89,43.8,369
2022/05/09,9:49:00,43.89,43.92,43.93,43.89,346
2022/05/09,9:50:00,43.91,43.93,43.94,43.88,305
2022/05/09,9:51:00,43.93,44.05,44.06,43.93,836
2022/05/09,9:52:00,44.06,44.05,44.07,44.02,410
2022/05/09,9:53:00,44.06,44.18,44.19,44.05,506
2022/05/09,9:54:00,44.18,44.11,44.18,44.06,563
2022/05/09,9:55:00,44.11,44.05,44.14,44.03,605
2022/05/09,9:56:00,44.05,44.04,44.08,44.03,288
2022/05/09,9:57:00,44.05,44.03,44.09,44.0,289
2022/05/09,9:58:00,44.04,44.14,44.15,44.04,526
2022/05/09,9:59:00,44.14,44.11,44.16,44.09,341
2022/05/09,10:00:00,44.1,43.97,44.11,43.95,634
2022/05/09,10:01:00,43.97,44.07,44.08,43.95,430
2022/05/09,10:02:00,44.07,44.11,44.11,44.04,506
2022/05/09,10:03:00,44.11,44.14,44.15,44.1,694
2022/05/09,10:04:00,44.13,44.02,44.15,44.02,176
2022/05/09,10:05:00,44.02,44.04,44.05,44.01,261
2022/05/09,10:06:00,44.04,43.99,44.04,43.97,226
2022/05/09,10:07:00,43.98,43.92,43.99,43.91,214
2022/05/09,10:08:00,43.92,43.84,43.92,43.84,231
2022/05/09,10:09:00,43.83,43.78,43.83,43.73,254
2022/05/09,10:10:00,43.78,43.85,43.87,43.78,232
2022/05/09,10:11:00,43.84,43.91,43.93,43.84,261
2022/05/09,10:12:00,43.91,43.94,43.94,43.87,305
2022/05/09,10:13:00,43.94,43.94,44.02,43.94,433
2022/05/09,10:14:00,43.94,43.91,43.95,43.91,314
2022/05/09,10:15:00,43.9,43.92,43.93,43.88,658
2022/05/09,10:16:00,43.92,43.92,43.98,43.91,495
2022/05/09,10:17:00,43.93,43.87,43.94,43.87,163
2022/05/09,10:18:00,43.86,43.87,43.92,43.85,333
2022/05/09,10:19:00,43.88,43.88,43.9,43.85,264
2022/05/09,10:20:00,43.87,43.87,43.88,43.83,193
2022/05/09,10:21:00,43.86,43.89,43.89,43.84,370
2022/05/09,10:22:00,43.88,43.79,43.88,43.79,286
2022/05/09,10:23:00,43.79,43.78,43.79,43.77,130
2022/05/09,10:24:00,43.78,43.75,43.78,43.75,210
2022/05/09,10:25:00,43.74,43.83,43.83,43.72,672
2022/05/09,10:26:00,43.82,43.85,43.88,43.82,587
2022/05/09,10:27:00,43.85,43.86,43.87,43.82,476
2022/05/09,10:28:00,43.86,43.79,43.86,43.79,322
2022/05/09,10:29:00,43.79,43.79,43.8,43.76,395
2022/05/09,10:30:00,43.79,43.81,43.81,43.78,439
2022/05/09,10:31:00,43.82,43.88,43.88,43.82,182
2022/05/09,10:32:00,43.87,43.89,43.9,43.86,316
2022/05/09,10:33:00,43.88,43.86,43.88,43.82,965
2022/05/09,10:34:00,43.86,43.92,43.93,43.86,462
2022/05/09,10:35:00,43.91,43.87,43.91,43.86,233
2022/05/09,10:36:00,43.86,43.9,43.91,43.86,250
2022/05/09,10:37:00,43.89,43.83,43.89,43.82,192
2022/05/09,10:38:00,43.82,43.78,43.82,43.78,199
2022/05/09,10:39:00,43.77,43.72,43.77,43.7,390
2022/05/09,10:40:00,43.71,43.76,43.78,43.71,346
2022/05/09,10:41:00,43.76,43.8,43.87,43.76,730
2022/05/09,10:42:00,43.8,43.82,43.85,43.79,167
2022/05/09,10:43:00,43.81,43.82,43.85,43.8,1517
2022/05/09,10:44:00,43.81,43.84,43.84,43.75,377
2022/05/09,10:45:00,43.84,43.84,43.86,43.82,375
2022/05/09,10:46:00,43.84,43.8,43.85,43.8,317
2022/05/09,10:47:00,43.81,43.83,43.83,43.74,543
2022/05/09,10:48:00,43.83,43.82,43.84,43.77,158
2022/05/09,10:49:00,43.82,43.79,43.83,43.79,380
2022/05/09,10:50:00,43.79,43.8,43.84,43.78,225
2022/05/09,10:51:00,43.79,43.72,43.79,43.72,190
2022/05/09,10:52:00,43.71,43.74,43.75,43.7,499
2022/05/09,10:53:00,43.73,43.73,43.73,43.7,488
2022/05/09,10:54:00,43.73,43.71,43.74,43.71,167
2022/05/09,10:55:00,43.71,43.7,43.75,43.69,309
2022/05/09,10:56:00,43.7,43.71,43.71,43.66,1078
2022/05/09,10:57:00,43.71,43.67,43.74,43.64,479
2022/05/09,10:58:00,43.67,43.68,43.68,43.66,113
2022/05/09,10:59:00,43.68,43.64,43.7,43.64,628
2022/05/09,11:00:00,43.65,43.7,43.7,43.62,465
2022/05/09,11:01:00,43.71,43.65,43.71,43.65,605
2022/05/09,11:02:00,43.64,43.58,43.64,43.58,136
2022/05/09,11:03:00,43.59,43.62,43.66,43.55,556
2022/05/09,11:04:00,43.62,43.62,43.66,43.6,271
2022/05/09,11:05:00,43.62,43.57,43.62,43.55,353
2022/05/09,11:06:00,43.57,43.61,43.62,43.57,317
2022/05/09,11:07:00,43.61,43.64,43.66,43.59,670
2022/05/09,11:08:00,43.64,43.64,43.65,43.6,890
2022/05/09,11:09:00,43.64,43.7,43.7,43.64,572
2022/05/09,11:10:00,43.7,43.71,43.73,43.68,254
2022/05/09,11:11:00,43.7,43.7,43.72,43.68,196
2022/05/09,11:12:00,43.7,43.67,43.72,43.67,196
2022/05/09,11:13:00,43.67,43.58,43.67,43.58,133
2022/05/09,11:14:00,43.57,43.59,43.61,43.57,323
2022/05/09,11:15:00,43.58,43.65,43.66,43.58,573
2022/05/09,11:16:00,43.65,43.62,43.68,43.61,179
2022/05/09,11:17:00,43.61,43.58,43.61,43.57,242
2022/05/09,11:18:00,43.59,43.61,43.62,43.58,142
2022/05/09,11:19:00,43.61,43.61,43.62,43.59,113
2022/05/09,11:20:00,43.59,43.61,43.62,43.58,164
2022/05/09,11:21:00,43.61,43.6,43.63,43.6,175
2022/05/09,11:22:00,43.6,43.62,43.62,43.59,118
2022/05/09,11:23:00,43.61,43.57,43.62,43.57,182
2022/05/09,11:24:00,43.57,43.59,43.6,43.56,1956
2022/05/09,11:25:00,43.58,43.57,43.58,43.55,149
2022/05/09,11:26:00,43.56,43.6,43.6,43.56,276
2022/05/09,11:27:00,43.6,43.54,43.6,43.53,225
2022/05/09,11:28:00,43.53,43.52,43.53,43.49,662
2022/05/09,11:29:00,43.53,43.49,43.53,43.48,265
2022/05/09,11:30:00,43.49,43.45,43.49,43.42,143
2022/05/09,11:31:00,43.44,43.44,43.45,43.44,107
2022/05/09,11:32:00,43.44,43.47,43.47,43.44,579
2022/05/09,11:33:00,43.46,43.48,43.48,43.42,603
2022/05/09,11:34:00,43.48,43.52,43.53,43.47,405
2022/05/09,11:35:00,43.53,43.51,43.55,43.51,695
2022/05/09,11:36:00,43.52,43.5,43.54,43.5,210
2022/05/09,11:37:00,43.51,43.52,43.54,43.5,271
2022/05/09,11:38:00,43.52,43.56,43.57,43.51,459
2022/05/09,11:39:00,43.56,43.61,43.61,43.55,453
2022/05/09,11:40:00,43.61,43.57,43.61,43.55,490
2022/05/09,11:41:00,43.57,43.63,43.64,43.55,504
2022/05/09,11:42:00,43.64,43.6,43.64,43.59,292
2022/05/09,11:43:00,43.6,43.61,43.64,43.58,295
2022/05/09,11:44:00,43.6,43.61,43.62,43.58,261
2022/05/09,11:45:00,43.61,43.65,43.65,43.59,310
2022/05/09,11:46:00,43.65,43.64,43.66,43.61,232
2022/05/09,11:47:00,43.64,43.65,43.66,43.61,152
2022/05/09,11:48:00,43.64,43.61,43.67,43.61,402
2022/05/09,11:49:00,43.61,43.58,43.61,43.58,237
2022/05/09,11:50:00,43.58,43.65,43.65,43.58,160
2022/05/09,11:51:00,43.65,43.68,43.69,43.65,340
2022/05/09,11:52:00,43.68,43.7,43.7,43.65,371
2022/05/09,11:53:00,43.7,43.68,43.72,43.66,482
2022/05/09,11:54:00,43.67,43.72,43.72,43.67,459
2022/05/09,11:55:00,43.72,43.7,43.74,43.69,215
