Date,Hour,Open,Close,High,Low,Volume
2022/05/09,9:30:00,71.77,71.61,71.8,71.55,2033
2022/05/09,9:31:00,71.61,71.72,71.77,71.6,1243
2022/05/09,9:32:00,71.74,71.63,71.77,71.57,1065
2022/05/09,9:33:00,71.64,71.4,71.65,71.4,746
2022/05/09,9:34:00,71.38,71.48,71.49,71.35,857
2022/05/09,9:35:00,71.48,71.33,71.55,71.33,807
2022/05/09,9:36:00,71.34,71.36,71.4,71.3,1066
2022/05/09,9:37:00,71.35,71.36,71.46,71.28,1074
2022/05/09,9:38:00,71.35,71.44,71.45,71.29,563
2022/05/09,9:39:00,71.44,71.53,71.58,71.42,683
2022/05/09,9:40:00,71.53,71.51,71.6,71.47,777
2022/05/09,9:41:00,71.5,71.3,71.5,71.28,653
2022/05/09,9:42:00,71.3,71.27,71.32,71.21,476
2022/05/09,9:43:00,71.25,71.21,71.27,71.19,622
2022/05/09,9:44:00,71.22,71.23,71.31,71.22,476
2022/05/09,9:45:00,71.23,71.23,71.25,71.08,1121
2022/05/09,9:46:00,71.23,71.1,71.24,71.07,566
2022/05/09,9:47:00,71.1,71.22,71.26,71.1,521
2022/05/09,9:48:00,71.22,71.26,71.26,71.12,577
2022/05/09,9:49:00,71.28,71.25,71.31,71.24,572
2022/05/09,9:50:00,71.25,71.26,71.28,71.2,500
2022/05/09,9:51:00,71.25,71.38,71.38,71.2,1234
2022/05/09,9:52:00,71.38,71.5,71.53,71.38,716
2022/05/09,9:53:00,71.5,71.65,71.68,71.44,1939
2022/05/09,9:54:00,71.64,71.62,71.67,71.56,759
2022/05/09,9:55:00,71.62,71.67,71.7,71.62,518
2022/05/09,9:56:00,71.67,71.72,71.76,71.65,414
2022/05/09,9:57:00,71.72,71.65,71.74,71.62,390
2022/05/09,9:58:00,71.66,71.71,71.76,71.66,521
2022/05/09,9:59:00,71.71,71.76,71.76,71.68,355
2022/05/09,10:00:00,71.76,71.71,71.78,71.7,673
2022/05/09,10:01:00,71.71,71.76,71.8,71.66,611
2022/05/09,10:02:00,71.76,71.78,71.78,71.7,1004
2022/05/09,10:03:00,71.79,71.78,71.83,71.75,955
2022/05/09,10:04:00,71.78,71.64,71.8,71.64,511
2022/05/09,10:05:00,71.65,71.66,71.69,71.64,247
2022/05/09,10:06:00,71.66,71.72,71.72,71.63,195
2022/05/09,10:07:00,71.72,71.69,71.73,71.67,340
2022/05/09,10:08:00,71.68,71.58,71.68,71.57,396
2022/05/09,10:09:00,71.57,71.58,71.58,71.52,461
2022/05/09,10:10:00,71.58,71.65,71.7,71.58,523
2022/05/09,10:11:00,71.65,71.71,71.73,71.65,239
2022/05/09,10:12:00,71.7,71.76,71.76,71.67,980
2022/05/09,10:13:00,71.76,71.76,71.82,71.74,806
2022/05/09,10:14:00,71.75,71.57,71.75,71.57,227
2022/05/09,10:15:00,71.56,71.6,71.67,71.54,727
2022/05/09,10:16:00,71.61,71.63,71.65,71.57,623
2022/05/09,10:17:00,71.64,71.58,71.64,71.58,310
2022/05/09,10:18:00,71.58,71.55,71.65,71.55,261
2022/05/09,10:19:00,71.56,71.53,71.61,71.5,320
2022/05/09,10:20:00,71.52,71.53,71.56,71.49,833
2022/05/09,10:21:00,71.53,71.57,71.57,71.51,412
2022/05/09,10:22:00,71.57,71.45,71.57,71.45,727
2022/05/09,10:23:00,71.45,71.5,71.5,71.43,257
2022/05/09,10:24:00,71.51,71.44,71.51,71.41,321
2022/05/09,10:25:00,71.43,71.54,71.55,71.41,1796
2022/05/09,10:26:00,71.54,71.51,71.57,71.47,1296
2022/05/09,10:27:00,71.51,71.51,71.51,71.45,668
2022/05/09,10:28:00,71.5,71.47,71.56,71.47,747
2022/05/09,10:29:00,71.47,71.52,71.52,71.44,902
2022/05/09,10:30:00,71.51,71.54,71.57,71.5,1158
2022/05/09,10:31:00,71.54,71.66,71.67,71.54,436
2022/05/09,10:32:00,71.65,71.73,71.73,71.65,514
2022/05/09,10:33:00,71.72,71.8,71.81,71.68,417
2022/05/09,10:34:00,71.81,71.83,71.87,71.77,415
2022/05/09,10:35:00,71.82,71.79,71.84,71.77,430
2022/05/09,10:36:00,71.79,71.81,71.9,71.78,357
2022/05/09,10:37:00,71.81,71.7,71.84,71.68,205
2022/05/09,10:38:00,71.7,71.67,71.7,71.65,298
2022/05/09,10:39:00,71.67,71.59,71.67,71.54,586
2022/05/09,10:40:00,71.59,71.58,71.66,71.58,507
2022/05/09,10:41:00,71.57,71.61,71.68,71.56,1279
2022/05/09,10:42:00,71.6,71.68,71.69,71.58,697
2022/05/09,10:43:00,71.66,71.65,71.68,71.63,302
2022/05/09,10:44:00,71.64,71.65,71.67,71.54,894
2022/05/09,10:45:00,71.66,71.59,71.66,71.56,584
2022/05/09,10:46:00,71.59,71.62,71.65,71.55,252
2022/05/09,10:47:00,71.61,71.66,71.66,71.58,325
2022/05/09,10:48:00,71.66,71.66,71.68,71.61,314
2022/05/09,10:49:00,71.67,71.62,71.71,71.62,216
2022/05/09,10:50:00,71.62,71.67,71.71,71.61,423
2022/05/09,10:51:00,71.66,71.6,71.68,71.59,250
2022/05/09,10:52:00,71.61,71.67,71.7,71.6,547
2022/05/09,10:53:00,71.66,71.64,71.66,71.6,438
2022/05/09,10:54:00,71.62,71.53,71.63,71.52,269
2022/05/09,10:55:00,71.52,71.53,71.58,71.5,436
2022/05/09,10:56:00,71.53,71.58,71.58,71.48,1280
2022/05/09,10:57:00,71.58,71.52,71.6,71.47,1114
2022/05/09,10:58:00,71.52,71.53,71.53,71.5,287
2022/05/09,10:59:00,71.53,71.48,71.55,71.48,449
2022/05/09,11:00:00,71.48,71.58,71.59,71.45,1149
2022/05/09,11:01:00,71.59,71.48,71.59,71.48,560
2022/05/09,11:02:00,71.47,71.49,71.51,71.45,214
2022/05/09,11:03:00,71.49,71.55,71.58,71.47,935
2022/05/09,11:04:00,71.54,71.56,71.58,71.53,360
2022/05/09,11:05:00,71.54,71.54,71.55,71.49,324
2022/05/09,11:06:00,71.54,71.58,71.62,71.54,478
2022/05/09,11:07:00,71.58,71.64,71.65,71.58,607
2022/05/09,11:08:00,71.64,71.66,71.66,71.59,880
2022/05/09,11:09:00,71.66,71.69,71.71,71.65,1055
2022/05/09,11:10:00,71.68,71.7,71.7,71.64,643
2022/05/09,11:11:00,71.69,71.74,71.75,71.67,351
2022/05/09,11:12:00,71.74,71.72,71.78,71.71,375
2022/05/09,11:13:00,71.73,71.6,71.73,71.59,323
2022/05/09,11:14:00,71.6,71.66,71.67,71.59,652
2022/05/09,11:15:00,71.66,71.66,71.72,71.61,1312
2022/05/09,11:16:00,71.67,71.63,71.7,71.62,297
2022/05/09,11:17:00,71.62,71.58,71.63,71.56,300
2022/05/09,11:18:00,71.59,71.61,71.61,71.54,339
2022/05/09,11:19:00,71.6,71.65,71.65,71.59,244
2022/05/09,11:20:00,71.65,71.67,71.68,71.63,284
2022/05/09,11:21:00,71.66,71.63,71.67,71.62,231
2022/05/09,11:22:00,71.62,71.65,71.67,71.6,624
2022/05/09,11:23:00,71.65,71.61,71.66,71.6,387
2022/05/09,11:24:00,71.6,71.65,71.65,71.6,456
2022/05/09,11:25:00,71.64,71.67,71.67,71.6,265
2022/05/09,11:26:00,71.67,71.7,71.71,71.65,261
2022/05/09,11:27:00,71.7,71.63,71.7,71.63,444
2022/05/09,11:28:00,71.63,71.61,71.65,71.59,497
2022/05/09,11:29:00,71.61,71.57,71.61,71.53,353
2022/05/09,11:30:00,71.57,71.52,71.58,71.5,307
2022/05/09,11:31:00,71.52,71.54,71.58,71.52,133
2022/05/09,11:32:00,71.54,71.57,71.58,71.51,303
2022/05/09,11:33:00,71.56,71.51,71.56,71.51,566
2022/05/09,11:34:00,71.51,71.52,71.53,71.49,266
2022/05/09,11:35:00,71.53,71.58,71.6,71.53,527
2022/05/09,11:36:00,71.59,71.62,71.62,71.58,452
2022/05/09,11:37:00,71.62,71.6,71.62,71.56,1081
2022/05/09,11:38:00,71.6,71.68,71.69,71.6,847
2022/05/09,11:39:00,71.67,71.67,71.7,71.65,677
2022/05/09,11:40:00,71.67,71.66,71.67,71.62,508
2022/05/09,11:41:00,71.67,71.77,71.77,71.66,686
2022/05/09,11:42:00,71.77,71.69,71.77,71.66,296
2022/05/09,11:43:00,71.69,71.73,71.76,71.68,1225
2022/05/09,11:44:00,71.73,71.76,71.77,71.7,188
2022/05/09,11:45:00,71.76,71.79,71.79,71.71,321
2022/05/09,11:46:00,71.78,71.76,71.78,71.75,111
2022/05/09,11:47:00,71.76,71.76,71.77,71.7,310
2022/05/09,11:48:00,71.75,71.78,71.81,71.75,292
2022/05/09,11:49:00,71.78,71.84,71.85,71.77,275
2022/05/09,11:50:00,71.85,71.92,71.94,71.84,758
2022/05/09,11:51:00,71.92,71.92,71.96,71.92,194
2022/05/09,11:52:00,71.92,71.9,71.92,71.88,455
2022/05/09,11:53:00,71.91,71.91,71.95,71.9,626
2022/05/09,11:54:00,71.91,71.94,71.95,71.88,593
2022/05/09,11:55:00,71.94,71.88,71.95,71.87,298
2022/05/09,11:56:00,71.88,71.89,71.89,71.86,1058
2022/05/09,11:57:00,71.89,71.85,71.89,71.83,554
2022/05/09,11:58:00,71.85,71.8,71.88,71.8,737
2022/05/09,11:59:00,71.79,71.84,71.84,71.78,330
2022/05/09,12:00:00,71.83,71.8,71.84,71.79,510
2022/05/09,12:01:00,71.79,71.72,71.79,71.71,423
2022/05/09,12:02:00,71.72,71.67,71.72,71.66,696
2022/05/09,12:03:00,71.68,71.73,71.73,71.68,684
2022/05/09,12:04:00,71.72,71.74,71.75,71.71,484
2022/05/09,12:05:00,71.74,71.7,71.74,71.69,594
2022/05/09,12:06:00,71.69,71.83,71.84,71.69,732
2022/05/09,12:07:00,71.83,71.84,71.84,71.78,1364
2022/05/09,12:08:00,71.85,71.78,71.85,71.77,369
2022/05/09,12:09:00,71.77,71.78,71.86,71.77,233
2022/05/09,12:10:00,71.79,71.79,71.86,71.79,201
2022/05/09,12:11:00,71.79,71.76,71.8,71.74,547
2022/05/09,12:12:00,71.76,71.77,71.8,71.76,310
2022/05/09,12:13:00,71.78,71.76,71.79,71.72,523
2022/05/09,12:14:00,71.76,71.81,71.82,71.74,210
2022/05/09,12:15:00,71.81,71.87,71.87,71.81,449
2022/05/09,12:16:00,71.88,71.82,71.88,71.8,307
2022/05/09,12:17:00,71.81,71.84,71.84,71.81,97
2022/05/09,12:18:00,71.83,71.83,71.85,71.82,180
2022/05/09,12:19:00,71.82,71.75,71.83,71.75,138
2022/05/09,12:20:00,71.75,71.65,71.75,71.65,281
2022/05/09,12:21:00,71.66,71.69,71.74,71.65,241
2022/05/09,12:22:00,71.67,71.7,71.72,71.67,148
2022/05/09,12:23:00,71.71,71.72,71.73,71.7,298
2022/05/09,12:24:00,71.72,71.75,71.78,71.72,256
2022/05/09,12:25:00,71.75,71.69,71.78,71.68,332
2022/05/09,12:26:00,71.68,71.68,71.69,71.63,462
2022/05/09,12:27:00,71.67,71.73,71.73,71.66,272
2022/05/09,12:28:00,71.73,71.75,71.75,71.72,159
2022/05/09,12:29:00,71.75,71.77,71.78,71.73,271
2022/05/09,12:30:00,71.76,71.69,71.76,71.68,393
2022/05/09,12:31:00,71.69,71.77,71.8,71.68,410
2022/05/09,12:32:00,71.76,71.83,71.83,71.76,278
2022/05/09,12:33:00,71.83,71.81,71.84,71.79,348
2022/05/09,12:34:00,71.82,71.79,71.85,71.79,239
2022/05/09,12:35:00,71.8,71.74,71.8,71.72,183
2022/05/09,12:36:00,71.74,71.72,71.75,71.69,314
2022/05/09,12:37:00,71.72,71.67,71.72,71.67,145
2022/05/09,12:38:00,71.68,71.67,71.69,71.63,487
2022/05/09,12:39:00,71.67,71.64,71.67,71.64,104
2022/05/09,12:40:00,71.64,71.62,71.65,71.62,230
2022/05/09,12:41:00,71.61,71.59,71.61,71.58,235
2022/05/09,12:42:00,71.58,71.62,71.63,71.57,95
2022/05/09,12:43:00,71.62,71.61,71.62,71.58,444
2022/05/09,12:44:00,71.61,71.58,71.61,71.56,323
2022/05/09,12:45:00,71.57,71.54,71.59,71.54,354
2022/05/09,12:46:00,71.54,71.58,71.58,71.54,330
2022/05/09,12:47:00,71.57,71.57,71.59,71.54,200
2022/05/09,12:48:00,71.57,71.56,71.59,71.55,186
2022/05/09,12:49:00,71.56,71.5,71.57,71.48,294
2022/05/09,12:50:00,71.5,71.46,71.51,71.45,367
2022/05/09,12:51:00,71.45,71.42,71.45,71.4,517
2022/05/09,12:52:00,71.42,71.49,71.49,71.42,169
2022/05/09,12:53:00,71.48,71.51,71.52,71.48,187
2022/05/09,12:54:00,71.51,71.54,71.55,71.51,479
2022/05/09,12:55:00,71.53,71.54,71.55,71.5,282
2022/05/09,12:56:00,71.54,71.55,71.57,71.51,148
2022/05/09,12:57:00,71.55,71.57,71.57,71.54,281
2022/05/09,12:58:00,71.57,71.58,71.6,71.57,138
2022/05/09,12:59:00,71.57,71.59,71.6,71.57,116
2022/05/09,13:00:00,71.6,71.56,71.61,71.55,297
2022/05/09,13:01:00,71.55,71.56,71.57,71.55,112
2022/05/09,13:02:00,71.56,71.58,71.6,71.54,779
2022/05/09,13:03:00,71.59,71.56,71.59,71.55,259
2022/05/09,13:04:00,71.57,71.55,71.59,71.55,238
2022/05/09,13:05:00,71.54,71.57,71.59,71.54,142
2022/05/09,13:06:00,71.58,71.59,71.6,71.57,231
2022/05/09,13:07:00,71.59,71.57,71.59,71.56,310
2022/05/09,13:08:00,71.58,71.54,71.58,71.53,209
2022/05/09,13:09:00,71.54,71.58,71.59,71.54,189
2022/05/09,13:10:00,71.57,71.53,71.57,71.52,224
2022/05/09,13:11:00,71.53,71.56,71.57,71.53,97
2022/05/09,13:12:00,71.57,71.53,71.58,71.53,530
2022/05/09,13:13:00,71.53,71.53,71.55,71.5,531
2022/05/09,13:14:00,71.53,71.51,71.55,71.49,330
2022/05/09,13:15:00,71.5,71.56,71.57,71.49,211
2022/05/09,13:16:00,71.56,71.54,71.57,71.52,222
2022/05/09,13:17:00,71.55,71.53,71.56,71.51,182
2022/05/09,13:18:00,71.54,71.55,71.56,71.51,402
2022/05/09,13:19:00,71.55,71.58,71.61,71.54,342
2022/05/09,13:20:00,71.58,71.53,71.58,71.49,239
2022/05/09,13:21:00,71.53,71.54,71.57,71.53,517
2022/05/09,13:22:00,71.54,71.53,71.54,71.52,150
2022/05/09,13:23:00,71.53,71.54,71.55,71.52,269
2022/05/09,13:24:00,71.55,71.56,71.56,71.52,529
2022/05/09,13:25:00,71.56,71.6,71.6,71.56,475
2022/05/09,13:26:00,71.6,71.6,71.62,71.57,538
2022/05/09,13:27:00,71.6,71.62,71.65,71.6,381
2022/05/09,13:28:00,71.63,71.6,71.63,71.54,420
2022/05/09,13:29:00,71.6,71.66,71.68,71.6,311
2022/05/09,13:30:00,71.66,71.7,71.71,71.66,245
2022/05/09,13:31:00,71.7,71.65,71.7,71.63,383
2022/05/09,13:32:00,71.65,71.56,71.66,71.56,390
2022/05/09,13:33:00,71.55,71.57,71.59,71.49,592
2022/05/09,13:34:00,71.57,71.53,71.58,71.51,325
2022/05/09,13:35:00,71.53,71.52,71.55,71.52,121
2022/05/09,13:36:00,71.52,71.51,71.52,71.47,342
2022/05/09,13:37:00,71.51,71.48,71.52,71.46,356
2022/05/09,13:38:00,71.49,71.47,71.5,71.46,659
2022/05/09,13:39:00,71.47,71.51,71.51,71.45,254
2022/05/09,13:40:00,71.51,71.58,71.58,71.5,218
2022/05/09,13:41:00,71.57,71.66,71.66,71.57,455
2022/05/09,13:42:00,71.65,71.7,71.71,71.64,187
2022/05/09,13:43:00,71.7,71.75,71.79,71.7,416
2022/05/09,13:44:00,71.75,71.76,71.77,71.72,327
2022/05/09,13:45:00,71.77,71.75,71.82,71.75,271
2022/05/09,13:46:00,71.76,71.72,71.77,71.72,258
2022/05/09,13:47:00,71.72,71.81,71.81,71.69,433
2022/05/09,13:48:00,71.82,71.77,71.84,71.76,585
2022/05/09,13:49:00,71.76,71.75,71.76,71.73,317
2022/05/09,13:50:00,71.76,71.73,71.78,71.72,431
2022/05/09,13:51:00,71.72,71.64,71.73,71.64,379
2022/05/09,13:52:00,71.63,71.58,71.64,71.56,958
2022/05/09,13:53:00,71.57,71.56,71.6,71.55,555
2022/05/09,13:54:00,71.56,71.56,71.57,71.5,869
2022/05/09,13:55:00,71.55,71.56,71.56,71.51,1480
2022/05/09,13:56:00,71.56,71.6,71.62,71.55,803
2022/05/09,13:57:00,71.61,71.7,71.7,71.6,660
2022/05/09,13:58:00,71.71,71.72,71.72,71.65,356
2022/05/09,13:59:00,71.72,71.69,71.73,71.68,320
2022/05/09,14:00:00,71.69,71.75,71.75,71.69,237
2022/05/09,14:01:00,71.75,71.82,71.83,71.75,527
2022/05/09,14:02:00,71.82,71.8,71.86,71.79,327
2022/05/09,14:03:00,71.79,71.77,71.85,71.76,384
2022/05/09,14:04:00,71.77,71.83,71.83,71.76,409
2022/05/09,14:05:00,71.82,71.8,71.85,71.79,595
2022/05/09,14:06:00,71.8,71.76,71.81,71.76,809
2022/05/09,14:07:00,71.76,71.76,71.8,71.75,174
2022/05/09,14:08:00,71.75,71.77,71.78,71.72,211
2022/05/09,14:09:00,71.77,71.8,71.82,71.75,269
2022/05/09,14:10:00,71.79,71.77,71.8,71.74,365
2022/05/09,14:11:00,71.77,71.81,71.81,71.77,283
2022/05/09,14:12:00,71.81,71.85,71.85,71.79,643
2022/05/09,14:13:00,71.84,71.82,71.88,71.81,435
2022/05/09,14:14:00,71.81,71.81,71.82,71.79,211
2022/05/09,14:15:00,71.81,71.8,71.83,71.78,651
2022/05/09,14:16:00,71.79,71.83,71.84,71.79,548
2022/05/09,14:17:00,71.83,71.82,71.87,71.81,446
2022/05/09,14:18:00,71.81,71.87,71.88,71.81,434
2022/05/09,14:19:00,71.87,71.85,71.87,71.8,350
2022/05/09,14:20:00,71.86,71.83,71.86,71.81,469
2022/05/09,14:21:00,71.83,71.77,71.83,71.75,315
2022/05/09,14:22:00,71.77,71.73,71.78,71.72,173
2022/05/09,14:23:00,71.73,71.73,71.73,71.7,465
2022/05/09,14:24:00,71.73,71.77,71.77,71.73,38
2022/05/09,14:25:00,71.76,71.76,71.76,71.71,672
2022/05/09,14:26:00,71.76,71.74,71.77,71.7,666
2022/05/09,14:27:00,71.75,71.76,71.77,71.74,238
2022/05/09,14:28:00,71.76,71.78,71.8,71.74,744
2022/05/09,14:29:00,71.79,71.8,71.83,71.79,297
2022/05/09,14:30:00,71.8,71.8,71.8,71.75,382
2022/05/09,14:31:00,71.8,71.7,71.8,71.7,720
2022/05/09,14:32:00,71.7,71.66,71.71,71.65,329
2022/05/09,14:33:00,71.65,71.75,71.75,71.64,427
2022/05/09,14:34:00,71.75,71.82,71.88,71.75,1108
2022/05/09,14:35:00,71.83,71.87,71.89,71.83,578
2022/05/09,14:36:00,71.87,71.85,71.87,71.79,383
2022/05/09,14:37:00,71.84,71.86,71.87,71.82,330
2022/05/09,14:38:00,71.85,71.9,71.91,71.85,389
2022/05/09,14:39:00,71.89,71.85,71.89,71.84,643
2022/05/09,14:40:00,71.85,71.82,71.86,71.79,249
2022/05/09,14:41:00,71.82,71.82,71.84,71.81,342
2022/05/09,14:42:00,71.81,71.86,71.86,71.79,484
2022/05/09,14:43:00,71.86,71.86,71.87,71.85,338
2022/05/09,14:44:00,71.86,71.88,71.93,71.86,391
2022/05/09,14:45:00,71.88,71.88,71.89,71.85,528
2022/05/09,14:46:00,71.88,71.9,71.9,71.85,263
2022/05/09,14:47:00,71.89,71.91,71.92,71.88,399
2022/05/09,14:48:00,71.91,71.86,71.91,71.86,462
2022/05/09,14:49:00,71.86,71.79,71.86,71.76,547
2022/05/09,14:50:00,71.78,71.75,71.78,71.7,745
2022/05/09,14:51:00,71.75,71.86,71.86,71.74,733
2022/05/09,14:52:00,71.86,71.89,71.91,71.86,341
2022/05/09,14:53:00,71.89,71.88,71.9,71.86,309
2022/05/09,14:54:00,71.88,71.9,71.91,71.87,201
2022/05/09,14:55:00,71.9,71.94,71.95,71.9,444
2022/05/09,14:56:00,71.93,71.94,71.98,71.93,391
2022/05/09,14:57:00,71.94,71.99,72.01,71.94,648
2022/05/09,14:58:00,71.98,71.99,72.01,71.97,424
2022/05/09,14:59:00,71.99,71.98,72.01,71.95,429
2022/05/09,15:00:00,71.99,72.0,72.0,71.93,602
2022/05/09,15:01:00,72.01,72.07,72.08,72.01,578
2022/05/09,15:02:00,72.08,72.05,72.09,72.03,454
2022/05/09,15:03:00,72.05,72.01,72.07,71.97,886
2022/05/09,15:04:00,72.01,72.01,72.03,71.96,714
2022/05/09,15:05:00,72.01,72.01,72.06,72.0,1491
2022/05/09,15:06:00,72.01,72.07,72.08,71.99,875
2022/05/09,15:07:00,72.08,72.15,72.16,72.08,1573
2022/05/09,15:08:00,72.14,72.12,72.17,72.1,1230
2022/05/09,15:09:00,72.12,72.1,72.12,72.05,1069
