Date,Hour,Open,Close,High,Low,Volume
2022/05/09,9:30:00,128.33,127.97,128.36,127.95,984
2022/05/09,9:31:00,127.94,128.04,128.05,127.93,582
2022/05/09,9:32:00,128.02,128.02,128.25,127.98,902
2022/05/09,9:33:00,127.99,127.79,128.0,127.76,726
2022/05/09,9:34:00,127.76,127.82,127.85,127.65,606
2022/05/09,9:35:00,127.84,127.6,127.91,127.58,665
2022/05/09,9:36:00,127.6,127.43,127.61,127.41,851
2022/05/09,9:37:00,127.43,127.25,127.43,127.18,1438
2022/05/09,9:38:00,127.24,127.64,127.66,127.18,441
2022/05/09,9:39:00,127.63,127.72,127.81,127.61,503
2022/05/09,9:40:00,127.71,127.64,127.77,127.41,655
2022/05/09,9:41:00,127.6,127.46,127.62,127.31,650
2022/05/09,9:42:00,127.42,127.35,127.48,127.31,818
2022/05/09,9:43:00,127.33,127.39,127.43,127.27,529
2022/05/09,9:44:00,127.38,127.65,127.66,127.38,553
2022/05/09,9:45:00,127.68,127.49,127.68,127.36,484
2022/05/09,9:46:00,127.51,127.19,127.52,127.18,327
2022/05/09,9:47:00,127.22,127.36,127.43,127.22,333
2022/05/09,9:48:00,127.35,127.23,127.35,127.2,317
2022/05/09,9:49:00,127.24,127.38,127.42,127.24,482
2022/05/09,9:50:00,127.37,127.21,127.37,127.2,401
2022/05/09,9:51:00,127.19,127.5,127.51,127.18,721
2022/05/09,9:52:00,127.51,127.56,127.59,127.46,635
2022/05/09,9:53:00,127.54,127.75,127.78,127.5,268
2022/05/09,9:54:00,127.73,127.67,127.75,127.56,358
2022/05/09,9:55:00,127.69,127.59,127.72,127.53,328
2022/05/09,9:56:00,127.59,127.59,127.73,127.55,297
2022/05/09,9:57:00,127.58,127.38,127.6,127.34,174
2022/05/09,9:58:00,127.4,127.53,127.66,127.4,512
2022/05/09,9:59:00,127.53,127.69,127.69,127.41,198
2022/05/09,10:00:00,127.7,127.35,127.7,127.35,447
2022/05/09,10:01:00,127.36,127.53,127.61,127.27,534
2022/05/09,10:02:00,127.52,127.64,127.64,127.43,385
2022/05/09,10:03:00,127.64,127.61,127.7,127.55,274
2022/05/09,10:04:00,127.6,127.37,127.62,127.34,230
2022/05/09,10:05:00,127.38,127.54,127.57,127.36,178
2022/05/09,10:06:00,127.54,127.5,127.55,127.4,210
2022/05/09,10:07:00,127.52,127.46,127.57,127.46,243
2022/05/09,10:08:00,127.46,127.37,127.53,127.37,267
2022/05/09,10:09:00,127.38,127.33,127.38,127.27,427
2022/05/09,10:10:00,127.34,127.5,127.52,127.34,719
2022/05/09,10:11:00,127.48,127.61,127.64,127.48,292
2022/05/09,10:12:00,127.6,127.76,127.77,127.54,615
2022/05/09,10:13:00,127.76,127.75,127.92,127.75,467
2022/05/09,10:14:00,127.74,127.66,127.84,127.66,496
2022/05/09,10:15:00,127.68,127.69,127.81,127.66,981
2022/05/09,10:16:00,127.69,127.68,127.76,127.6,504
2022/05/09,10:17:00,127.72,127.5,127.73,127.5,104
2022/05/09,10:18:00,127.48,127.48,127.55,127.44,145
2022/05/09,10:19:00,127.48,127.48,127.52,127.4,175
2022/05/09,10:20:00,127.47,127.49,127.53,127.43,314
2022/05/09,10:21:00,127.47,127.54,127.56,127.45,183
2022/05/09,10:22:00,127.54,127.31,127.54,127.3,171
2022/05/09,10:23:00,127.3,127.36,127.41,127.3,151
2022/05/09,10:24:00,127.38,127.23,127.38,127.23,144
2022/05/09,10:25:00,127.23,127.42,127.42,127.22,263
2022/05/09,10:26:00,127.42,127.51,127.53,127.39,594
2022/05/09,10:27:00,127.5,127.57,127.58,127.45,176
2022/05/09,10:28:00,127.57,127.33,127.57,127.3,567
2022/05/09,10:29:00,127.32,127.43,127.43,127.27,428
2022/05/09,10:30:00,127.41,127.35,127.41,127.3,152
2022/05/09,10:31:00,127.35,127.43,127.47,127.35,157
2022/05/09,10:32:00,127.42,127.41,127.49,127.41,301
2022/05/09,10:33:00,127.4,127.61,127.61,127.37,308
2022/05/09,10:34:00,127.61,127.73,127.8,127.57,509
2022/05/09,10:35:00,127.72,127.6,127.72,127.59,331
2022/05/09,10:36:00,127.6,127.58,127.68,127.58,289
2022/05/09,10:37:00,127.58,127.46,127.6,127.44,159
2022/05/09,10:38:00,127.45,127.51,127.54,127.42,211
2022/05/09,10:39:00,127.5,127.37,127.5,127.35,384
2022/05/09,10:40:00,127.37,127.4,127.45,127.37,432
2022/05/09,10:41:00,127.39,127.52,127.64,127.39,679
2022/05/09,10:42:00,127.51,127.65,127.7,127.5,448
2022/05/09,10:43:00,127.64,127.61,127.72,127.59,214
2022/05/09,10:44:00,127.6,127.69,127.7,127.47,371
2022/05/09,10:45:00,127.7,127.65,127.75,127.6,260
2022/05/09,10:46:00,127.66,127.66,127.79,127.66,233
2022/05/09,10:47:00,127.65,127.79,127.8,127.56,301
2022/05/09,10:48:00,127.8,127.72,127.81,127.65,190
2022/05/09,10:49:00,127.74,127.62,127.77,127.61,209
2022/05/09,10:50:00,127.62,127.66,127.78,127.61,170
2022/05/09,10:51:00,127.65,127.46,127.65,127.42,191
2022/05/09,10:52:00,127.46,127.49,127.55,127.43,274
2022/05/09,10:53:00,127.46,127.41,127.47,127.38,176
2022/05/09,10:54:00,127.4,127.3,127.44,127.3,130
2022/05/09,10:55:00,127.3,127.22,127.36,127.21,253
2022/05/09,10:56:00,127.22,127.32,127.33,127.12,681
2022/05/09,10:57:00,127.33,127.27,127.41,127.22,341
2022/05/09,10:58:00,127.26,127.23,127.28,127.18,175
2022/05/09,10:59:00,127.21,127.19,127.28,127.18,254
2022/05/09,11:00:00,127.17,127.3,127.3,127.13,493
2022/05/09,11:01:00,127.28,127.14,127.29,127.14,429
2022/05/09,11:02:00,127.17,127.06,127.17,127.06,291
