Date,Hour,Open,Close,High,Low,Volume
2022/05/09,9:30:00,154.69,154.86,155.09,154.43,432
2022/05/09,9:31:00,154.9,154.72,154.97,154.52,406
2022/05/09,9:32:00,154.73,154.11,154.98,154.07,323
2022/05/09,9:33:00,154.03,154.4,154.45,153.83,379
2022/05/09,9:34:00,154.36,154.78,154.78,154.2,229
2022/05/09,9:35:00,154.95,155.14,155.24,154.87,333
2022/05/09,9:36:00,155.19,155.38,155.43,154.96,365
2022/05/09,9:37:00,155.37,155.26,155.39,155.02,231
2022/05/09,9:38:00,155.25,155.91,155.97,155.14,260
2022/05/09,9:39:00,155.93,155.86,156.22,155.78,403
2022/05/09,9:40:00,155.82,155.84,156.03,155.16,431
2022/05/09,9:41:00,155.84,155.81,156.12,155.55,462
2022/05/09,9:42:00,155.82,155.62,155.86,155.53,382
2022/05/09,9:43:00,155.54,155.62,156.19,155.51,466
2022/05/09,9:44:00,155.57,155.93,155.96,155.49,288
2022/05/09,9:45:00,155.92,155.43,155.94,155.28,361
2022/05/09,9:46:00,155.41,155.22,155.41,155.09,368
2022/05/09,9:47:00,155.23,155.16,155.34,155.08,331
2022/05/09,9:48:00,155.14,155.35,155.36,155.03,176
2022/05/09,9:49:00,155.34,155.69,155.69,155.26,328
2022/05/09,9:50:00,155.71,155.81,155.81,155.38,513
2022/05/09,9:51:00,155.77,156.35,156.39,155.61,614
2022/05/09,9:52:00,156.4,156.39,156.43,156.07,534
2022/05/09,9:53:00,156.39,156.8,156.82,156.27,485
2022/05/09,9:54:00,156.75,156.77,156.86,156.47,370
2022/05/09,9:55:00,156.75,156.27,156.81,156.22,274
2022/05/09,9:56:00,156.27,156.07,156.37,155.94,254
2022/05/09,9:57:00,156.05,155.89,156.11,155.79,216
2022/05/09,9:58:00,155.91,156.19,156.34,155.86,299
2022/05/09,9:59:00,156.19,156.14,156.19,155.94,182
2022/05/09,10:00:00,156.07,155.43,156.08,155.42,272
2022/05/09,10:01:00,155.41,155.89,156.01,155.41,280
2022/05/09,10:02:00,155.95,155.89,156.32,155.63,450
2022/05/09,10:03:00,155.96,155.94,156.03,155.7,116
2022/05/09,10:04:00,155.86,155.58,155.99,155.47,78
2022/05/09,10:05:00,155.6,155.63,155.73,155.51,93
2022/05/09,10:06:00,155.57,155.2,155.57,155.12,143
2022/05/09,10:07:00,155.18,154.85,155.2,154.85,162
2022/05/09,10:08:00,154.84,154.8,155.0,154.78,152
2022/05/09,10:09:00,154.78,154.55,154.82,154.54,240
2022/05/09,10:10:00,154.56,154.81,154.96,154.54,330
2022/05/09,10:11:00,154.83,154.96,155.04,154.7,363
2022/05/09,10:12:00,154.95,155.13,155.21,154.88,367
2022/05/09,10:13:00,155.11,155.3,155.47,155.08,445
2022/05/09,10:14:00,155.33,155.29,155.5,155.29,247
2022/05/09,10:15:00,155.31,155.28,155.43,155.02,614
2022/05/09,10:16:00,155.25,155.4,155.63,155.24,503
2022/05/09,10:17:00,155.48,155.17,155.53,155.17,261
2022/05/09,10:18:00,155.16,155.07,155.2,154.91,257
2022/05/09,10:19:00,155.03,155.03,155.14,154.91,270
2022/05/09,10:20:00,155.07,154.91,155.22,154.78,240
2022/05/09,10:21:00,154.9,155.35,155.37,154.9,251
2022/05/09,10:22:00,155.35,154.83,155.39,154.82,269
2022/05/09,10:23:00,154.84,154.87,155.04,154.81,148
2022/05/09,10:24:00,154.87,154.62,154.96,154.62,209
2022/05/09,10:25:00,154.6,154.68,154.74,154.54,221
2022/05/09,10:26:00,154.66,154.58,154.75,154.52,305
2022/05/09,10:27:00,154.59,154.51,154.67,154.49,173
2022/05/09,10:28:00,154.52,154.34,154.52,154.27,298
2022/05/09,10:29:00,154.33,154.17,154.34,154.16,274
2022/05/09,10:30:00,154.16,154.07,154.16,153.97,160
2022/05/09,10:31:00,154.12,153.89,154.12,153.84,142
2022/05/09,10:32:00,153.86,153.68,153.9,153.66,247
2022/05/09,10:33:00,153.67,153.64,153.77,153.61,170
2022/05/09,10:34:00,153.67,153.95,154.01,153.62,321
2022/05/09,10:35:00,153.9,153.89,154.07,153.82,313
2022/05/09,10:36:00,153.87,153.85,154.01,153.82,429
2022/05/09,10:37:00,153.84,153.75,153.86,153.71,249
2022/05/09,10:38:00,153.75,153.59,153.77,153.59,174
2022/05/09,10:39:00,153.61,153.42,153.66,153.4,252
2022/05/09,10:40:00,153.43,153.58,153.69,153.35,318
2022/05/09,10:41:00,153.6,153.83,153.97,153.55,362
2022/05/09,10:42:00,153.88,153.94,154.08,153.8,83
2022/05/09,10:43:00,153.92,153.87,154.09,153.85,111
2022/05/09,10:44:00,153.88,153.97,153.99,153.67,234
2022/05/09,10:45:00,154.01,154.15,154.17,153.9,216
2022/05/09,10:46:00,154.18,154.0,154.27,153.99,120
2022/05/09,10:47:00,153.92,154.18,154.18,153.8,199
2022/05/09,10:48:00,154.19,153.97,154.2,153.88,141
2022/05/09,10:49:00,154.02,153.95,154.17,153.94,108
2022/05/09,10:50:00,153.9,153.83,154.1,153.77,150
2022/05/09,10:51:00,153.77,153.48,153.78,153.43,154
2022/05/09,10:52:00,153.46,153.52,153.61,153.43,190
2022/05/09,10:53:00,153.54,153.47,153.56,153.44,130
2022/05/09,10:54:00,153.4,153.29,153.51,153.28,92
2022/05/09,10:55:00,153.22,153.24,153.37,153.19,97
2022/05/09,10:56:00,153.25,153.49,153.63,153.14,525
2022/05/09,10:57:00,153.5,153.44,153.66,153.37,253
2022/05/09,10:58:00,153.41,153.34,153.52,153.28,135
2022/05/09,10:59:00,153.32,153.14,153.41,153.14,188
2022/05/09,11:00:00,153.09,153.31,153.31,152.98,253
2022/05/09,11:01:00,153.31,153.24,153.36,153.18,154
2022/05/09,11:02:00,153.22,153.1,153.24,153.09,97
2022/05/09,11:03:00,153.15,153.32,153.46,153.1,324
2022/05/09,11:04:00,153.34,153.28,153.44,153.26,121
2022/05/09,11:05:00,153.24,152.91,153.24,152.91,130
2022/05/09,11:06:00,152.91,152.78,152.97,152.78,166
2022/05/09,11:07:00,152.72,152.86,152.92,152.67,126
2022/05/09,11:08:00,152.83,152.94,152.94,152.77,333
2022/05/09,11:09:00,152.91,153.07,153.07,152.84,195
2022/05/09,11:10:00,153.02,153.29,153.35,153.0,173
2022/05/09,11:11:00,153.27,153.22,153.32,153.15,188
2022/05/09,11:12:00,153.24,153.16,153.34,153.07,193
2022/05/09,11:13:00,153.15,152.82,153.2,152.82,107
2022/05/09,11:14:00,152.77,152.94,153.01,152.77,147
2022/05/09,11:15:00,152.92,153.18,153.25,152.88,318
2022/05/09,11:16:00,153.27,153.31,153.52,153.27,131
2022/05/09,11:17:00,153.3,153.32,153.37,153.25,82
2022/05/09,11:18:00,153.33,153.25,153.33,153.18,78
2022/05/09,11:19:00,153.26,153.18,153.31,153.06,90
2022/05/09,11:20:00,153.16,153.03,153.16,153.0,84
2022/05/09,11:21:00,153.01,153.06,153.09,152.98,58
2022/05/09,11:22:00,153.02,152.96,153.03,152.88,146
2022/05/09,11:23:00,152.91,152.92,152.98,152.83,171
2022/05/09,11:24:00,152.91,152.99,153.09,152.86,129
2022/05/09,11:25:00,152.96,152.91,153.01,152.85,108
2022/05/09,11:26:00,152.88,152.87,152.89,152.77,80
2022/05/09,11:27:00,152.87,152.89,153.02,152.87,98
2022/05/09,11:28:00,152.89,153.15,153.17,152.79,193
2022/05/09,11:29:00,153.19,152.98,153.2,152.96,80
2022/05/09,11:30:00,152.96,152.78,153.06,152.76,113
2022/05/09,11:31:00,152.79,152.74,152.8,152.71,35
2022/05/09,11:32:00,152.69,152.62,152.72,152.51,130
2022/05/09,11:33:00,152.59,153.0,153.0,152.52,141
2022/05/09,11:34:00,153.0,153.18,153.22,152.99,135
2022/05/09,11:35:00,153.14,153.12,153.35,153.1,9066
2022/05/09,11:36:00,153.11,153.01,153.22,153.01,110
2022/05/09,11:37:00,153.0,153.08,153.21,152.99,101
2022/05/09,11:38:00,153.1,153.44,153.45,153.1,121
2022/05/09,11:39:00,153.44,153.73,153.73,153.37,209
2022/05/09,11:40:00,153.72,153.49,153.72,153.48,111
2022/05/09,11:41:00,153.53,153.68,153.72,153.45,126
2022/05/09,11:42:00,153.71,153.91,153.94,153.71,156
2022/05/09,11:43:00,153.89,153.72,154.03,153.68,130
2022/05/09,11:44:00,153.73,153.54,153.76,153.54,77
2022/05/09,11:45:00,153.61,153.77,153.78,153.5,151
2022/05/09,11:46:00,153.78,153.71,153.82,153.57,79
2022/05/09,11:47:00,153.74,153.64,153.84,153.58,98
2022/05/09,11:48:00,153.61,153.62,153.72,153.57,110
2022/05/09,11:49:00,153.58,153.52,153.61,153.42,109
2022/05/09,11:50:00,153.52,153.91,153.91,153.48,138
2022/05/09,11:51:00,153.88,153.92,154.01,153.88,154
2022/05/09,11:52:00,153.87,153.89,153.94,153.72,135
2022/05/09,11:53:00,153.89,153.72,153.89,153.7,113
2022/05/09,11:54:00,153.72,153.87,153.93,153.69,206
2022/05/09,11:55:00,153.93,153.92,153.95,153.71,101
2022/05/09,11:56:00,153.99,154.11,154.11,153.96,89
2022/05/09,11:57:00,154.1,154.1,154.12,153.93,65
2022/05/09,11:58:00,154.13,153.9,154.29,153.9,285
2022/05/09,11:59:00,153.88,153.99,154.08,153.83,110
2022/05/09,12:00:00,153.97,153.74,154.0,153.73,159
2022/05/09,12:01:00,153.75,153.61,153.77,153.57,110
2022/05/09,12:02:00,153.63,153.59,153.79,153.52,162
2022/05/09,12:03:00,153.63,153.43,153.64,153.42,99
2022/05/09,12:04:00,153.42,153.46,153.52,153.41,61
2022/05/09,12:05:00,153.48,153.62,153.85,153.41,189
2022/05/09,12:06:00,153.61,154.15,154.16,153.56,268
2022/05/09,12:07:00,154.18,154.53,154.53,154.11,234
2022/05/09,12:08:00,154.55,154.41,154.62,154.41,78
2022/05/09,12:09:00,154.41,154.19,154.47,154.18,141
2022/05/09,12:10:00,154.23,154.68,154.68,154.23,120
2022/05/09,12:11:00,154.7,154.63,154.72,154.52,60
2022/05/09,12:12:00,154.56,154.73,154.74,154.54,70
2022/05/09,12:13:00,154.74,154.86,154.93,154.74,171
2022/05/09,12:14:00,154.84,154.7,154.94,154.7,92
2022/05/09,12:15:00,154.69,154.96,154.98,154.66,141
2022/05/09,12:16:00,154.98,154.89,154.98,154.82,75
2022/05/09,12:17:00,154.88,155.09,155.12,154.88,132
2022/05/09,12:18:00,155.09,155.05,155.11,154.95,79
2022/05/09,12:19:00,155.09,154.92,155.12,154.81,90
2022/05/09,12:20:00,154.91,154.63,154.94,154.6,212
2022/05/09,12:21:00,154.65,154.59,154.82,154.59,104
2022/05/09,12:22:00,154.58,154.56,154.65,154.55,51
2022/05/09,12:23:00,154.56,154.69,154.72,154.54,87
2022/05/09,12:24:00,154.73,154.84,155.03,154.73,165
2022/05/09,12:25:00,154.86,154.58,155.02,154.58,160
2022/05/09,12:26:00,154.58,154.4,154.58,154.37,166
2022/05/09,12:27:00,154.36,154.32,154.43,154.28,52
2022/05/09,12:28:00,154.33,154.51,154.53,154.33,57
2022/05/09,12:29:00,154.49,154.56,154.62,154.38,99
2022/05/09,12:30:00,154.53,154.38,154.71,154.32,134
2022/05/09,12:31:00,154.35,154.68,154.88,154.33,290
2022/05/09,12:32:00,154.64,154.7,154.88,154.62,92
2022/05/09,12:33:00,154.74,154.65,154.77,154.46,159
2022/05/09,12:34:00,154.69,154.6,154.77,154.49,81
2022/05/09,12:35:00,154.6,154.58,154.6,154.41,85
2022/05/09,12:36:00,154.57,154.35,154.57,154.32,47
2022/05/09,12:37:00,154.36,154.2,154.36,154.16,132
2022/05/09,12:38:00,154.21,154.03,154.21,153.96,83
2022/05/09,12:39:00,154.01,153.92,154.05,153.92,80
2022/05/09,12:40:00,153.92,154.0,154.1,153.9,79
2022/05/09,12:41:00,153.98,153.98,154.05,153.95,37
2022/05/09,12:42:00,153.98,153.93,154.03,153.89,80
2022/05/09,12:43:00,153.88,153.82,153.93,153.82,82
2022/05/09,12:44:00,153.85,153.79,153.85,153.74,76
2022/05/09,12:45:00,153.74,153.62,153.82,153.6,97
2022/05/09,12:46:00,153.62,153.62,153.67,153.56,84
2022/05/09,12:47:00,153.61,153.61,153.64,153.54,56
2022/05/09,12:48:00,153.58,153.64,153.64,153.54,72
2022/05/09,12:49:00,153.65,153.69,153.73,153.55,87
2022/05/09,12:50:00,153.67,153.57,153.69,153.56,91
2022/05/09,12:51:00,153.54,153.44,153.55,153.41,80
2022/05/09,12:52:00,153.42,153.44,153.52,153.35,61
2022/05/09,12:53:00,153.43,153.31,153.48,153.29,81
2022/05/09,12:54:00,153.29,153.18,153.29,153.16,80
2022/05/09,12:55:00,153.17,153.34,153.35,153.14,83
2022/05/09,12:56:00,153.3,153.27,153.32,153.25,68
2022/05/09,12:57:00,153.27,153.27,153.3,153.22,53
2022/05/09,12:58:00,153.23,153.11,153.24,153.08,102
2022/05/09,12:59:00,153.11,153.12,153.21,153.1,88
2022/05/09,13:00:00,153.12,153.03,153.18,152.99,76
2022/05/09,13:01:00,153.02,153.13,153.14,153.02,73
2022/05/09,13:02:00,153.11,153.24,153.4,153.1,206
2022/05/09,13:03:00,153.23,153.18,153.26,153.14,51
2022/05/09,13:04:00,153.16,153.1,153.24,153.08,87
2022/05/09,13:05:00,153.1,153.13,153.19,153.08,95
2022/05/09,13:06:00,153.1,153.15,153.19,152.98,124
2022/05/09,13:07:00,153.15,153.17,153.2,153.07,71
2022/05/09,13:08:00,153.15,153.02,153.18,153.0,69
2022/05/09,13:09:00,153.05,153.01,153.17,153.01,83
2022/05/09,13:10:00,152.99,152.84,152.99,152.81,182
2022/05/09,13:11:00,152.83,152.77,152.83,152.7,94
2022/05/09,13:12:00,152.75,152.83,152.96,152.74,187
2022/05/09,13:13:00,152.81,152.79,152.88,152.74,173
2022/05/09,13:14:00,152.77,152.74,152.8,152.67,117
2022/05/09,13:15:00,152.72,152.89,152.91,152.69,81
2022/05/09,13:16:00,152.87,152.83,152.88,152.71,106
2022/05/09,13:17:00,152.82,152.94,152.94,152.81,187
2022/05/09,13:18:00,152.96,152.97,153.01,152.82,130
2022/05/09,13:19:00,152.96,152.98,153.11,152.95,113
2022/05/09,13:20:00,152.97,152.81,152.97,152.72,84
2022/05/09,13:21:00,152.82,152.91,152.95,152.79,145
2022/05/09,13:22:00,152.88,152.9,152.91,152.82,91
2022/05/09,13:23:00,152.88,152.89,152.97,152.85,97
2022/05/09,13:24:00,152.88,152.94,152.97,152.8,153
2022/05/09,13:25:00,152.94,153.28,153.29,152.92,173
2022/05/09,13:26:00,153.28,153.04,153.28,152.98,118
2022/05/09,13:27:00,153.05,153.16,153.25,153.05,117
2022/05/09,13:28:00,153.08,153.14,153.2,152.94,105
2022/05/09,13:29:00,153.15,153.34,153.51,153.15,362
2022/05/09,13:30:00,153.39,153.45,153.48,153.3,94
2022/05/09,13:31:00,153.48,153.38,153.5,153.24,126
2022/05/09,13:32:00,153.33,153.16,153.33,153.16,58
2022/05/09,13:33:00,153.13,153.05,153.13,152.88,237
2022/05/09,13:34:00,153.03,152.88,153.11,152.83,127
2022/05/09,13:35:00,152.86,152.71,152.9,152.68,96
2022/05/09,13:36:00,152.72,152.79,152.82,152.64,160
2022/05/09,13:37:00,152.81,152.73,152.82,152.66,301
2022/05/09,13:38:00,152.73,152.73,152.75,152.67,118
2022/05/09,13:39:00,152.79,152.81,152.88,152.74,126
2022/05/09,13:40:00,152.78,152.95,152.96,152.75,79
2022/05/09,13:41:00,152.9,153.14,153.14,152.9,100
2022/05/09,13:42:00,153.15,153.11,153.22,153.09,47
2022/05/09,13:43:00,153.15,153.25,153.35,153.14,70
2022/05/09,13:44:00,153.25,153.28,153.38,153.19,65
2022/05/09,13:45:00,153.3,153.22,153.42,153.18,78
2022/05/09,13:46:00,153.15,153.1,153.18,153.07,36
2022/05/09,13:47:00,153.07,153.26,153.26,152.95,56
2022/05/09,13:48:00,153.34,153.17,153.37,153.17,86
2022/05/09,13:49:00,153.17,153.0,153.17,152.97,72
2022/05/09,13:50:00,153.02,152.94,153.09,152.94,57
2022/05/09,13:51:00,152.92,152.72,152.93,152.7,108
2022/05/09,13:52:00,152.7,152.5,152.71,152.49,185
2022/05/09,13:53:00,152.49,152.48,152.54,152.44,237
2022/05/09,13:54:00,152.49,152.53,152.56,152.41,360
2022/05/09,13:55:00,152.52,152.59,152.67,152.46,375
2022/05/09,13:56:00,152.58,152.67,152.73,152.57,162
2022/05/09,13:57:00,152.66,152.94,153.02,152.64,216
2022/05/09,13:58:00,152.92,152.85,152.95,152.74,102
2022/05/09,13:59:00,152.86,152.8,152.9,152.79,57
2022/05/09,14:00:00,152.81,152.89,152.91,152.77,85
2022/05/09,14:01:00,152.91,153.01,153.09,152.9,140
2022/05/09,14:02:00,153.08,152.87,153.08,152.86,82
2022/05/09,14:03:00,152.84,152.77,153.0,152.76,64
2022/05/09,14:04:00,152.77,152.75,152.81,152.7,75
2022/05/09,14:05:00,152.78,152.75,152.91,152.75,91
2022/05/09,14:06:00,152.75,152.56,152.78,152.56,126
2022/05/09,14:07:00,152.54,152.59,152.68,152.52,100
2022/05/09,14:08:00,152.58,152.53,152.66,152.53,81
2022/05/09,14:09:00,152.51,152.58,152.64,152.42,84
2022/05/09,14:10:00,152.59,152.49,152.59,152.44,57
2022/05/09,14:11:00,152.49,152.5,152.57,152.44,93
2022/05/09,14:12:00,152.51,152.75,152.76,152.49,90
2022/05/09,14:13:00,152.74,152.65,152.84,152.62,120
2022/05/09,14:14:00,152.61,152.56,152.63,152.48,45
2022/05/09,14:15:00,152.57,152.67,152.77,152.57,102
2022/05/09,14:16:00,152.71,152.91,152.93,152.67,153
2022/05/09,14:17:00,152.87,152.85,152.95,152.76,74
2022/05/09,14:18:00,152.84,153.19,153.21,152.84,88
2022/05/09,14:19:00,153.15,153.11,153.21,153.05,53
2022/05/09,14:20:00,153.18,153.0,153.2,152.97,110
